2019-01-21|王布和额尔敦与东乌珠穆沁旗鑫地资源开发有限公司劳务合同纠纷一案执行裁定书|劳务合同纠纷|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|（2018）内2525执676号|https://www.tianyancha.com/lawsuit/afb37b762e284da6a4b39de1c21b0ba3
2018-11-01|东乌珠穆沁旗人力资源和社会保障局与东乌珠穆沁旗鑫地资源开发有限公司行政非诉一案执行裁定书|-|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|内2525执515号之一|https://www.tianyancha.com/lawsuit/a6839a00dda511e8a8b47cd30ae00894
2018-11-01|东乌珠穆沁旗人力资源和社会保障局与东乌珠穆沁旗鑫地资源开发有限公司行政非诉一案执行裁定书|-|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|内2525执515号|https://www.tianyancha.com/lawsuit/7f53476dead311e8a8b47cd30ae00894
2018-11-01|申请执行人李二江与被执行人东乌珠穆沁旗鑫地资源开发有限公司劳务合同纠纷执行裁定书|劳务合同纠纷|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|（2018）内2525执748号之一|https://www.tianyancha.com/lawsuit/b38e26f9dd9e11e8a8b47cd30ae00894
2018-10-24|申请执行人王立海与被执行人东乌珠穆沁旗鑫地资源开发有限公司劳务合同纠纷执行裁定书|劳务合同纠纷|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|（2018）内2525执750号之一|https://www.tianyancha.com/lawsuit/74e1e952d73e11e8a8b47cd30ae00894
2018-10-24|东乌珠穆沁旗人力资源和社会保障局与东乌珠穆沁旗鑫地资源开发有限公司行政非诉一案执行裁定书|-|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|内2525执316号之二|https://www.tianyancha.com/lawsuit/abce2ee1ea7b11e8a8b47cd30ae00894
2018-10-24|东乌珠穆沁旗人力资源和社会保障局与东乌珠穆沁旗鑫地资源开发有限公司行政非诉一案执行裁定书|-|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|内2525执515号之三|https://www.tianyancha.com/lawsuit/5788b4d0eaca11e8a8b47cd30ae00894
2018-09-20|华宝信托有限责任公司诉迁安市西峡口铁矿金融借款合同纠纷一案一审民事裁定书|金融借款合同纠纷|原告-华宝信托有限责任公司被告-河北滦水实业有限责任公司,河北省迁安化工集团有限责任公司,滦县宏林半碑店矿业有限公司,东乌珠穆沁旗鑫地资源开发有限公司|（2014）沪一中民六（商）初字第144号之一|https://www.tianyancha.com/lawsuit/60aabdbfd40911e8a8b47cd30ae00894
2017-12-31|梁彬、河北迁安化肥股份有限公司企业借贷纠纷执行实施类执行裁定书|企业借贷纠纷|被执行人-河北迁安化肥股份有限公司,河北滦水实业有限责任公司,东乌珠穆沁旗鑫地资源开发有限公司,阿鲁科尔沁旗天山煤业化工有限公司|（2016）冀09执425-1号|https://www.tianyancha.com/lawsuit/be8958d30a5311e881ec008cfaf870e0
2017-12-23|东乌珠穆沁旗华融小额贷款有限责任公司与东乌珠穆沁旗鑫地资源开发有限公司、河北滦水实业有限责任公司借款合同纠纷一案终结本次执行程序裁定书|借款合同纠纷|申请人-东乌珠穆沁旗华融小额贷款有限责任公司被执行人-东乌珠穆沁旗鑫地资源开发有限公司,河北滦水实业有限责任公司,河北滦水实业有限责任公司|（2017）内2525执700号|https://www.tianyancha.com/lawsuit/fcdbabe4931a11e8a8b47cd30ae00894
2017-12-23|东乌珠穆沁旗华融小额贷款有限责任公司与东乌珠穆沁旗鑫地资源开发有限公司、河北滦水实业有限责任公司借款合同纠纷一案终结本次执行程序裁定书|借款合同纠纷|申请人-东乌珠穆沁旗华融小额贷款有限责任公司被执行人-东乌珠穆沁旗鑫地资源开发有限公司,河北滦水实业有限责任公司|（2017）内2525执699号|https://www.tianyancha.com/lawsuit/be159ddd0a5311e881ec008cfaf870e0
2017-12-23|东乌珠穆沁旗华融小额贷款有限责任公司与东乌珠穆沁旗鑫地资源开发有限公司、河北滦水实业有限责任公司借款合同纠纷一案终结本次执行程序裁定书|借款合同纠纷|申请人-东乌珠穆沁旗华融小额贷款有限责任公司被执行人-东乌珠穆沁旗鑫地资源开发有限公司,河北滦水实业有限责任公司|（2017）内2525执701号|https://www.tianyancha.com/lawsuit/be1e5c9f0a5311e881ec008cfaf870e0
