2019-04-22|沈阳星河铜业有限公司、大连沙河口银丰小额贷款有限公司企业借贷纠纷二审民事判决书|企业借贷纠纷|上诉人-沈阳星河铜业有限公司被上诉人-大连沙河口银丰小额贷款有限公司,九星控股集团有限公司,九星控股集团通辽铜业有限公司|（2015）民二终字第157号|https://www.tianyancha.com/lawsuit/12b46cfa7ccf4092b760d583aca56326
2019-03-01|吉林银行股份有限公司四平铁东支行与九星控股集团沈阳电缆有限公司、沈阳睿泽塑业有限公司、九星控股集团有限公司、沈阳星河铜业有限公司、九星控股集团通辽铜业有限公司、李文君借款合同纠纷执行一案执行裁定书|借款合同纠纷|申请执行人-吉林银行股份有限公司四平铁东支行被执行人-九星控股集团沈阳电缆有限公司,沈阳睿泽塑业有限公司,九星控股集团有限公司,沈阳星河铜业有限公司,九星控股集团通辽铜业有限公司|（2018）吉03执恢15号之五|https://www.tianyancha.com/lawsuit/054cc667056e496684d11cb0c8b61f52
2019-01-24|大连沙河口银丰小额贷款有限公司与沈阳星河铜业有限公司、九星控股集团有限公司等合同、无因管理、不当得利执行实施类执行裁定书|-|申请执行人-大连沙河口银丰小额贷款有限公司被执行人-沈阳星河铜业有限公司,九星控股集团有限公司,九星控股集团通辽铜业有限公司|（2017）辽02执恢477号|https://www.tianyancha.com/lawsuit/2d23657f20254320932b7b99d9b9bb43
2019-01-23|九星控股集团通辽铜业有限公司与吉林银行股份有限公司四平铁东支行等金融借款合同纠纷再审审查民事裁定书|金融借款合同纠纷|再审申请人-九星控股集团通辽铜业有限公司被告-李文君,吉林银行股份有限公司四平铁东支行,九星控股集团沈阳电缆有限公司,何莎,九星控股集团有限公司,沈阳星河铜业有限公司|（2018）吉民申948号|https://www.tianyancha.com/lawsuit/2fea28989e31449db5ba131280b4d03c
2019-01-08|九星控股集团通辽铜业有限公司与吉林银行股份有限公司四平铁东支行、九星控股集团沈阳电缆有限公司、九星控股集团有限公司、沈阳星河铜业有限公司、李文君、何莎金融借款合同纠纷再审审查民事裁定书|金融借款合同纠纷|再审申请人-九星控股集团通辽铜业有限公司被申请人-吉林银行股份有限公司四平铁东支行,九星控股集团沈阳电缆有限公司,九星控股集团有限公司,沈阳星河铜业有限公司|（2018）吉民申972号|https://www.tianyancha.com/lawsuit/0cff7fa813ab11e9a8b47cd30ae00894
2018-12-01|吉林银行股份有限公司四平铁东支行与九星控股集团沈阳电缆有限公司、九星控股集团有限公司、沈阳星河铜业有限公司、九星控股集团通辽铜业有限公司、李文君借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-吉林银行股份有限公司四平铁东支行被执行人-九星控股集团沈阳电缆有限公司,九星控股集团有限公司,沈阳星河铜业有限公司,九星控股集团通辽铜业有限公司|（2018）吉03执恢14号之二|https://www.tianyancha.com/lawsuit/d46dc8a5f47711e8a8b47cd30ae00894
2018-11-20|平安银行股份有限公司大连分行与沈阳星河铜业有限公司、九星控股集团通辽铜业有限公司、九星控股集团沈阳电缆有限公司、九星控股集团有限公司、九星控股集团沈阳铸信铜业有限公司、李文君、杨兆伟、常亚文借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国长城资产管理股份有限公司辽宁省分公司被执行人-沈阳星河铜业有限公司,九星控股集团通辽铜业有限公司,九星控股集团沈阳电缆有限公司,九星控股集团有限公司,九星控股集团沈阳铸信铜业有限公司,平安银行股份有限公司大连分行|（2017）辽01执494号|https://www.tianyancha.com/lawsuit/2dfe8e80eeef11e8a8b47cd30ae00894
2018-11-19|申请执行人中国邮政储蓄银行股份有限公司沈阳市分行与被执行人九星控股集团通辽铜业有限公司、九星控股集团有限公司、李某某金融借款合同纠纷执行一案执行裁定书|金融借款合同纠纷|申请执行人-中国邮政储蓄银行股份有限公司沈阳市分行被执行人-九星控股集团通辽铜业有限公司,九星控股集团有限公司|（2016）辽01执38号之三|https://www.tianyancha.com/lawsuit/daff9675fe92438584fc0aad9ae4ec7f
2018-10-17|九星控股集团通辽铜业有限公司与吉林银行股份有限公司四平铁东支行、九星控股集团沈阳电缆有限公司、九星控股集团有限公司、沈阳星河铜业有限公司、李文君、何莎金融借款合同纠纷再审审查民事裁定书|金融借款合同纠纷|再审申请人-九星控股集团通辽铜业有限公司被申请人-吉林银行股份有限公司四平铁东支行,九星控股集团沈阳电缆有限公司,九星控股集团有限公司,沈阳星河铜业有限公司|（2018）吉民申948号|https://www.tianyancha.com/lawsuit/563e3369eade11e8a8b47cd30ae00894
2018-10-17|九星控股集团通辽铜业有限公司与吉林银行股份有限公司四平铁东支行、九星控股集团沈阳电缆有限公司、九星控股集团有限公司、沈阳星河铜业有限公司、李文君、何莎金融借款合同纠纷再审审查民事裁定书|金融借款合同纠纷|再审申请人-九星控股集团通辽铜业有限公司被申请人-吉林银行股份有限公司四平铁东支行,九星控股集团沈阳电缆有限公司,九星控股集团有限公司,沈阳星河铜业有限公司|（2018）吉民申970号|https://www.tianyancha.com/lawsuit/6f15fdfdeab311e8a8b47cd30ae00894
