JY21522010025041|食品经营许可证|-|-|兴安盟乌兰浩特市食品药品监督管理局|热食类食品制售、冷食类食品制售（含烧卤熟肉）***
乌卫环字【2013】第B064号|卫生许可证|2013年05月14日|-|乌兰浩特市卫生局|住宿
乌卫环字【2012】第F1409号|卫生许可证|2012年10月26日|-|乌兰浩特市卫生局|就餐服务场所
内体市管FA字第2012-003号|体育经营许可证|2012年03月20日|-|乌兰浩特市体育局|游泳馆
乌公特治字第2014038号|特种行业许可证|2014年04月16日|-|乌兰浩特市公安局治安管理大队|住宿
乌卫环字【2013】第Y016号|卫生许可证|2013年05月14日|-|乌兰浩特市卫生局|洗浴、游泳
蒙餐证字（2013）第152201CY0941号|餐饮服务许可证|2013年12月10日|-|乌兰浩特市食品药品监督管理局|含凉菜、不含生食海产品、不含裱花蛋糕
（乌）公消安检许字[2010]第0015号|公众聚集场所投入使用、营业前消防安全检查合格证|2010年03月09日|-|乌兰浩特市公安消防大队|建筑层数：六层
场所使用情况：一至五层宾馆
现有消防设施：消火栓57 灭火器143具 应急照明灯123盏 安全出口标志12个
