2019-06-04|基于大数据分析的电机驱动机构|CN201810764365.X|CN109001990B|-
2019-05-07|一种基于物联网控制的智能包装设备|CN201710788602.1|CN107472583B|发明专利
2019-03-08|一种聚丙烯装置中尾气回收丙烷的方法|CN201811405561.4|CN109438163A|发明专利
2019-02-22|一种甲醇制烯烃工艺生产中丙烷产品的色谱分析方法|CN201811290131|CN109374804A|发明专利
2019-02-22|一种测定聚乙烯密度的方法|CN201811342952|CN109374668A|发明专利
2019-01-22|一种防误操作闭锁的方法|CN201811337681|CN109256864A|发明专利
2019-01-18|一种混合碳四选择加氢反应中提高1-丁烯产率的方法|CN201811290124|CN109232155A|发明专利
2019-01-04|一种测定铁离子含量的方法|CN201811337655|CN109142326A|发明专利
2018-10-12|一种从烯烃分离装置尾气中提取氢气的装置|CN201720729822|CN207957759U|实用新型
2018-06-29|一种摆动转子泵减轻震动装置|CN201720659776.3|CN207554333U|实用新型
2018-06-12|一种急冷水改为水洗水的应用装置|CN201720729535.1|CN207478092U|实用新型
2018-02-27|一种浓盐水零排放处理装置|CN201720729532.8|CN207042053U|实用新型
2018-02-02|一种甲醇制烯烃装置水洗塔降注入有机溶剂降压差的装置|CN201720729534.7|CN206958358U|实用新型
2018-01-23|一种改进锅炉汽包平衡容器水位计测量精度装置|CN201720937114.8|CN206919972U|实用新型
2018-01-12|一种用于甲醇制烯烃污水汽提塔离线清洗装置|CN201720729756.9|CN206868771U|实用新型
2018-01-02|一种甲醇制烯烃装置碳四产品中羰基化合物的分析方法|CN201710426529.3|CN107529620A|发明专利
2018-01-02|一种烯烃分离装置化工废气处理装置|CN201720729533.2|CN206831523U|实用新型
2017-12-15|一种基于物联网控制的智能包装设备|CN201710788602.1|CN107472583A|发明专利
2017-11-24|一种聚丙烯粉料中二甲苯可溶物含量测定的方法|CN201710426374.3|CN107389719A|发明专利
2017-11-21|一种快速分析气体样品中烃类含量的方法|CN201710636695.6|CN107367568A|发明专利
2017-10-17|一种快速测定聚丙烯给电子体（CMMS）浓度的方法|CN201710431093.7|CN107255681A|发明专利
2017-10-13|一种电站脱硫系统用高压耐磨喷嘴|CN201710426402.1|CN107243420A|发明专利
2017-09-19|高COD、高总固工业废水新型预处理方法|CN201710636584.5|CN107176663A|发明专利
2016-03-30|一种生产低碳烯烃的催化剂及其制备方法和应用|CN201410194222.1|CN103949282B|发明专利
2014-07-30|一种生产低碳烯烃的催化剂及其制备方法和应用|CN201410194222.1|CN103949282A|发明专利
