国税发[2006]156号|国家税务总局关于修订的通知|-|-|巴彦淖尔市乌拉特前旗国家税务局|对增值税防伪税控系统最高开票限额的审批
乌环验[2016]7号|乌拉特前旗环境保护局关于内蒙古乌拉山化肥有限责任公司脱硫及布袋除尘技改工程竣工环境保护验收意见|-|-|乌拉特前旗环境保护局|通过竣工环境保护验收，准予投入正式运行
乌科发【2016】第9号|关于上报巴彦淖尔市科技计划储备项目|-|-|乌拉特前旗科学技术局|科腾气化炉生产工艺技术研究与应用
TS4215440-2020|特种设备许可证|2017年05月02日|2020年09月04日|内蒙古质监局|特种设备安装、改造、维修许可证
蒙农肥（2019）准字2119号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2123号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2124号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2126号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2120号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2118号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2127号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2121号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2125号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
蒙农肥（2019）准字2122号|肥料登记证|2019年04月10日|2024年04月01日|农牧厅|肥料登记证
