2019-03-29|宋云山与乔大林、宋长林等与企业有关的纠纷二审民事判决书|与企业有关的纠纷|上诉人-内蒙古乾泰实业集团有限公司|（2018）内06民终2398号|https://www.tianyancha.com/lawsuit/944f0a15075640cbb83fe242b3f5de5c
2019-02-14|乌海银行股份有限公司海南支行与鄂尔多斯市盛亨商贸有限责任公司、内蒙古乾泰实业集团有限公司等合同、无因管理、不当得利执行实施类执行裁定书|-|申请执行人-乌海银行股份有限公司海南支行被执行人-鄂尔多斯市盛亨商贸有限责任公司,内蒙古乾泰实业集团有限公司|（2017）内03执59号|https://www.tianyancha.com/lawsuit/529a48fa5c3540c5aface5d463514f71
2019-02-14|乌海银行股份有限公司海南支行与鄂尔多斯市旭基商贸有限责任公司、内蒙古乾泰实业集团有限公司等合同、无因管理、不当得利执行实施类执行裁定书|-|申请执行人-乌海银行股份有限公司海南支行被执行人-鄂尔多斯市旭基商贸有限责任公司,内蒙古乾泰实业集团有限公司|（2017）内03执57号|https://www.tianyancha.com/lawsuit/023ec9c5d31540a3b846599578d8c71f
2018-10-30|328鄂尔多斯银行股份有限公司东胜支行与内蒙古乾泰实业集团有限公司、鄂尔多斯市亿宏煤矿、达拉特旗纳林丰胜奎煤矿、宋仲山、高艳灵、宋云山、魏红英裁定书|-|申请执行人-鄂尔多斯银行股份有限公司东胜支行被执行人-内蒙古乾泰实业集团有限公司|（2016）内06执328号|https://www.tianyancha.com/lawsuit/ddad6c2788d04c77a77b210e35e46dee
2018-10-22|中国民生银行股份有限公司呼和浩特分行鄂尔多斯市盛雄煤炭运销有限责任公司、内蒙古乾泰实业集团有限公司、鄂尔多斯市亿宏煤矿、陕西宇佳投资置业有限公司达旗羊场煤矿、宋云山、宋仲山、宋富山、秦宇田裁定书|-|申请执行人-中国民生银行股份有限公司呼和浩特分行被执行人-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司,陕西宇佳投资置业有限公司|（2015）鄂执字第519号|https://www.tianyancha.com/lawsuit/48e4555ad7f211e8a8b47cd30ae00894
2018-10-22|中国民生银行股份有限公司呼和浩特分行申请执行鄂尔多斯市宝隆商贸有限公司、内蒙古乾泰实业集团有限公司、秦宇田裁定书|-|申请执行人-中国民生银行股份有限公司呼和浩特分行被执行人-鄂尔多斯市宝隆商贸有限公司,内蒙古乾泰实业集团有限公司|（2015）鄂执字第520号|https://www.tianyancha.com/lawsuit/4af2bd3bd7f211e8a8b47cd30ae00894
2018-01-24|乌海银行股份有限公司海南支行申请鄂尔多斯市盛雄煤炭运销有限责任公司、内蒙古乾泰实业集团有限公司、张生录借款合同纠纷一案裁定书|借款合同纠纷|申请执行人-乌海银行股份有限公司海南支行被执行人-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司|（2017）内0303执286号|https://www.tianyancha.com/lawsuit/536b44b94a0911e8b0207cd30ae00c08
2018-01-24|乌海银行股份有限公司海南支行申请鄂尔多斯市盛雄煤炭运销有限责任公司、内蒙古乾泰实业集团有限公司、张生录借款合同纠纷一案裁定书|借款合同纠纷|申请执行人-乌海银行股份有限公司海南支行被执行人-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司|（2017）内0303执285号|https://www.tianyancha.com/lawsuit/ce69b2593fb611e8b0207cd30ae00c08
2018-01-24|乌海银行股份有限公司海南支行申请鄂尔多斯市图盛商贸有限责任公司、宋云山、魏红英、潘生智、杨丽利、李智、内蒙古乾泰实业集团有限公司借款合同纠纷一案裁定书|借款合同纠纷|申请人-乌海银行股份有限公司海南支行,乌海银行股份有限公司海南支行被执行人-宋云山,潘生智,李智,商贸有限责任公司,内蒙古乾泰实业集团有限公司,魏红英,杨丽利|（2017）内0303执284号|https://www.tianyancha.com/lawsuit/56e08d403e4211e8b0207cd30ae00c08
2018-01-02|中国光大银行股份有限公司包头分行与陕西宇佳投资置业有限公司达旗羊场煤矿、陕西宇佳投资置业有限公司等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-中国光大银行股份有限公司包头分行被告-陕西宇佳投资置业有限公司,内蒙古乾泰实业集团有限公司|（2016）内02民初79号|https://www.tianyancha.com/lawsuit/5fb30f57400311e8b0207cd30ae00c08
2017-12-14|包商银行股份有限公司鄂尔多斯分行与韩宽等人金融借款合同纠纷一案终结本次执行程序裁定书|金融借款合同纠纷|申请人-包商银行股份有限公司鄂尔多斯分行被执行人-鄂尔多斯市泰峰工程机械施工有限公司,内蒙古乾泰实业集团有限公司|（2017）内0627执1749号|https://www.tianyancha.com/lawsuit/4f17cdd93c9711e8b0207cd30ae00c08
2017-08-07|乌海银行股份有限公司海南支行与鄂尔多斯市旭基商贸有限责任公司、内蒙古乾泰实业集团有限公司等借款合同纠纷一审民事判决书|借款合同纠纷|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市旭基商贸有限责任公司,内蒙古乾泰实业集团有限公司|（2015）乌中民一初字第30号|https://www.tianyancha.com/lawsuit/9d7aefb5428f11e8b0207cd30ae00c08
