2019-01-18|孟国华故意伤害罪一审刑事判决书|故意伤害罪|被告-内蒙古伊东集团东兴化工有限责任公司|（2018）内0921刑初44号|https://www.tianyancha.com/lawsuit/81404ad4dc2b463a81b014d89cc7fcd9
2018-12-31|景津环保股份有限公司、内蒙古伊东集团东兴化工有限责任公司承揽合同纠纷一审民事裁定书|承揽合同纠纷|申请人-景津环保股份有限公司被申请人-内蒙古伊东集团东兴化工有限责任公司|（2018）鲁1491民初1318号之二|https://www.tianyancha.com/lawsuit/118ee1260d4211e9a8b47cd30ae00894
2018-12-28|香港建达国际发展有限公司与内蒙古伊东集团东兴化工有限责任公司国内仲裁裁决执行裁定书|-|申请人-内蒙古伊东集团东兴化工有限责任公司被申请人-香港建达国际发展有限公司|（2018）内09执异11号|https://www.tianyancha.com/lawsuit/13388a1c0b5711e9a8b47cd30ae00894
2018-10-13|内蒙古伊东集团东兴化工有限责任公司与内蒙古东兴国际贸易有限责任公司委托合同纠纷一案执行裁定书执行实施类执行裁定书|委托合同纠纷|申请执行人-内蒙古伊东集团东兴化工有限责任公司被执行人-内蒙古东兴国际贸易有限责任公司|（2016）内01执14号|https://www.tianyancha.com/lawsuit/e7f139bbdbb1483b9272a480c27e0e8c
2018-10-01|河南佰嘉新型节能材料有限公司与内蒙古伊东集团东兴化工有限责任公司承揽合同纠纷一审民事裁定书|承揽合同纠纷|原告-河南佰嘉新型节能材料有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）豫0724民初579-1号|https://www.tianyancha.com/lawsuit/51d46987da6511e8a8b47cd30ae00894
2018-10-01|河南佰嘉新型节能材料有限公司与内蒙古伊东集团东兴化工有限责任公司承揽合同纠纷一审民事裁定书|承揽合同纠纷|原告-河南佰嘉新型节能材料有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）豫0724民初579-2号|https://www.tianyancha.com/lawsuit/48eb2a4bda6e11e8a8b47cd30ae00894
2018-10-01|河南佰嘉新型节能材料有限公司与内蒙古伊东集团东兴化工有限责任公司承揽合同纠纷一审民事裁定书|承揽合同纠纷|原告-河南佰嘉新型节能材料有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）豫0724民初579-3号|https://www.tianyancha.com/lawsuit/0b1f52edd6a311e8a8b47cd30ae00894
2018-08-09|苗鹏亮与中天开元（北京）建筑装饰工程有限公司、内蒙古伊东集团东兴化工有限责任公司建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|被告-中天开元（北京）建筑装饰工程有限公司,内蒙古伊东集团东兴化工有限责任公司|（2018）内0921民初291号|https://www.tianyancha.com/lawsuit/3fa791cfbd6a11e8a8b47cd30ae00894
2018-03-05|内蒙古第一电力建设工程有限责任公司与内蒙古伊东集团东兴化工有限责任公司建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-内蒙古第一电力建设工程有限责任公司被告-内蒙古伊东集团东兴化工有限责任公司|（2017）内0921民初1191号|https://www.tianyancha.com/lawsuit/1fa6583f8a3011e8a8b47cd30ae00894
2018-01-15|鹤见真空工程（上海）有限公司申请执行内蒙古伊东集团东兴化工有限责任公司执行裁定书|-|申请执行人-鹤见真空工程（上海）有限公司被执行人-内蒙古伊东集团东兴化工有限责任公司|（2017）内0921执216号|https://www.tianyancha.com/lawsuit/fab9c14a0cb511e881ec008cfaf870e0
2018-01-15|鹤见真空工程（上海）有限公司申请执行内蒙古伊东集团东兴化工有限责任公司执行裁定书|-|申请执行人-鹤见真空工程（上海）有限公司被执行人-内蒙古伊东集团东兴化工有限责任公司|（2017）内0921执215号|https://www.tianyancha.com/lawsuit/7adab6ca952c11e8a8b47cd30ae00894
2018-01-11|内蒙古伊东集团东兴化工有限责任公司与鹤见真空工程（上海）有限公司买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东集团东兴化工有限责任公司被上诉人-鹤见真空工程（上海）有限公司|（2016）内09民终451号|https://www.tianyancha.com/lawsuit/fc5281cc045b11e881ec008cfaf870e0
2017-12-30|中国光大银行股份有限公司呼和浩特分行与内蒙古伊东资源集团股份有限公司、内蒙古伊东煤炭集团股份有限责任公司等其他民事裁定书|-|申请人-中国光大银行股份有限公司呼和浩特分行被申请人-内蒙古伊东资源集团股份有限公司,股份有限责任公司,内蒙古伊东集团煤炭运销有限责任公司,内蒙古伊东集团东兴化工有限责任公司,内蒙古恒东能源集团有限责任公司,内蒙古西蒙集团有限公司,内蒙古兴泰置业集团有限公司|（2016）内财保2号|https://www.tianyancha.com/lawsuit/fad9397d0cb511e881ec008cfaf870e0
2017-11-21|董福与王建国、鲁萍民间借贷纠纷一审民事判决书|民间借贷纠纷|被告-内蒙古伊东集团东兴化工有限责任公司|（2017）内0622民初128号|https://www.tianyancha.com/lawsuit/ce5fa9083da711e8b0207cd30ae00c08
2017-11-17|内蒙古伊东集团东兴化工有限责任公司与美森工业技术有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-内蒙古伊东集团东兴化工有限责任公司|（2016）内0622民初4376号|https://www.tianyancha.com/lawsuit/fae7be150cb511e881ec008cfaf870e0
