杭国税许准字（2016）11号|对增值税防伪税控系统最高开票限额的审批|-|-|鄂尔多斯市杭锦旗国家税务局|核准增值税专用发票最高开票限额为十万元
鄂环总字〔2016〕58号|鄂尔多斯市环境保护局关于
内蒙古伊泰化工有限责任公司120万吨/年精细
化学品项目变更主要污染物排放总量指标
确认意见的函|-|-|鄂尔多斯市环境保护局|二氧化硫1164.73吨、氮氧化物854.75吨
杭国税许准字（2016）11号|增值税专用发票（增值税税控系统）最高开票限额审批|-|-|鄂尔多斯市杭锦旗国家税务局|核准增值税防伪税控系统最高开票限额为十万元
-|其他|2012年03月15日|-|鄂尔多斯市杭锦旗住房和城乡规划建设局|允许开工建设
152726201610260201|其他|2012年03月15日|-|杭锦旗住建局|允许开工建设
152726201611020201|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201610260101|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020501|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020701|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020401|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020301|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020901|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611021001|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020601|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201610260301|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020801|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
152726201611020101|其他|2013年08月05日|-|杭锦旗住建局|允许开工建设
-|其他|2013年08月05日|-|鄂尔多斯市杭锦旗住房和城乡规划建设局|允许开工建设
-|杭锦旗水务和水土保持局关于塔然高勒至锦泰化工园区二级公路水土保持方案报告书的批复|2014年08月29日|2022年08月28日|鄂尔多斯市杭锦旗水务和水土保持局|水土保持方案
杭环评字2015-01|环境影响报告表的批复|2015年03月01日|-|鄂尔多斯市杭锦旗环境保护局|内蒙古伊泰化工有限责任公司杭锦旗独贵塔拉工业园区（南区）输水管道工程
，占地面积368.25公顷
                                                                                                                                                                                                                                                                                                                                                                                                                                                                     内蒙古伊泰化工有限责任公司杭锦旗独贵塔拉工业园区（南区）输水管道工程
-|内蒙古自治区公路路政管理许可审批通知书|2015年04月09日|-|鄂尔多斯市杭锦旗交通运输局|内蒙古伊泰化工有限责任公司供电线路管道穿越、跨越公路
-|内蒙古自治区公路路政管理许可审批通知书|2015年12月16日|-|鄂尔多斯市杭锦旗交通运输局|内蒙古伊泰化工有限公司供电线路跨越公路
JY31506250008252|食品经营许可证|2016年11月22日|2021年11月21日|杭锦旗食品药品监督管理局|机关企事业单位食堂
JY31506250008269|食品经营许可证|2016年11月22日|2021年11月21日|杭锦旗食品药品监督管理局|机关企事业单位食堂
JY31506250008252|食品经营许可证|2016年11月22日|2021年11月21日|杭锦旗市场监督管理局|食品经营许可
JY31506250008269|食品经营许可证|2016年11月22日|2021年11月21日|杭锦旗市场监督管理局|食品经营许可
2017-150625-000007|卫生许可证|2017年04月18日|2021年04月17日|杭锦旗卫生和计划生育局|集中式供水
JY31506250012089|《食品经营许可证》|2017年04月27日|2022年04月26日|杭锦旗食品药品监督管理局|大型餐馆
JY31506250012089|食品经营许可证|2017年04月27日|2022年04月26日|杭锦旗食品药品监督管理局|大型餐馆
JY31506250012097|食品经营许可证|2017年04月27日|2022年04月26日|杭锦旗食品药品监督管理局|中型餐馆
JY31506250012097|《食品经营许可证》|2017年04月27日|2022年04月26日|杭锦旗食品药品监督管理局|中型餐馆
-|其他|2017年06月09日|-|杭锦旗规划事业服务中心|建设工程规划许可证
-|其他|2017年06月29日|-|杭锦旗规划事业服务中心|建设工程竣工规划核实合格证
150625201725006|其他|2017年06月29日|-|杭锦旗规划事业服务中心|建设工程竣工规划核实合格证
-|杭国税许准字（2017）63号|2017年07月28日|-|鄂尔多斯市杭锦旗国税局|核准增值税专用发票最高开票限额为一千万元
杭水许决〔2018〕4号|准予行政许可决定书|2018年04月01日|2021年03月31日|杭锦旗水务和水土保持局|取水许可
