2019-05-24|提高水煤浆气化炉表面温度监控可靠性的方法及系统|CN201711144211.2|CN109797005A|-
2019-05-21|煤间接液化再生水处理工艺及系统|CN201711132305.8|CN109775910A|发明专利
2019-05-17|一种粉末状催化剂精确计量输送系统|CN201821217870.4|CN208868678U|实用新型
2019-05-07|水煤浆气化装置煤浆给料装置|CN201821149695.X|CN208829610U|实用新型
2019-05-07|废液地下收集槽|CN201821484623.0|CN208824289U|实用新型
2019-04-26|一种输送脱碳溶液的系统|CN201821245260.5|CN208786146U|实用新型
2019-04-19|尾气制氢系统|CN201821484622.6|CN208762140U|实用新型
2018-11-16|一种F-T合成浆态床反应器的移热装置|CN201820016604|CN208098032U|实用新型
2018-08-10|脱乙烷系统|CN201721766534|CN207708543U|实用新型
2018-08-10|加氢反应系统的干燥系统|CN201721714908|CN207709022U|实用新型
2018-08-07|磨煤机入口积煤自动清理系统|CN201721674760|CN207694963U|实用新型
2018-07-17|具有蒸汽清扫功能的石蜡过滤器|CN201721693970|CN207614472U|实用新型
2018-07-17|煤间接液化再生水处理系统|CN201721531019|CN207619179U|实用新型
2018-07-17|双系列费托反应装置的开车方法|CN201810017456|CN108285809A|发明专利
2018-07-10|丝网除沫器|CN201721598674.1|CN207591447U|实用新型
2018-07-10|用于蜡储存罐的轻油回收系统|CN201721597991.1|CN207591446U|实用新型
2018-07-06|费托合成反应系统的轻质油处理单元|CN201721741342.4|CN207581742U|实用新型
2018-07-06|脱硫装置|CN201721631550.9|CN207576123U|实用新型
2018-06-29|减压减温器的防堵塞减温装置|CN201721676211.2|CN207555583U|实用新型
2018-06-22|费托合成释放气回收系统|CN201721655459.0|CN207525191U|实用新型
2018-06-22|滚筒式冷渣机加料装置|CN201721655498.0|CN207527625U|实用新型
2018-06-22|新型机械搅拌澄清系统|CN201721562092.8|CN207525035U|实用新型
2018-06-15|称重给煤机链条清扫机断链保护装置|CN201721609266.1|CN207497558U|实用新型
2018-06-15|管道局部堵漏密封夹具|CN201721589977.7|CN207500711U|实用新型
2018-06-12|压力管道堵漏装置|CN201721597992.6|CN207486329U|实用新型
2018-06-05|加药装置及其调速系统|CN201721561881.X|CN207460053U|实用新型
2018-06-05|湿式溢流型棒磨机入口端密封结构|CN201721598673.7|CN207454769U|实用新型
2018-05-29|一种靠背轮中心找正百分表固定架|CN201721581617.2|CN207423021U|实用新型
2018-05-11|煤粉蒸发干燥凝结废水处理系统|CN201721362646.X|CN207347195U|实用新型
2018-04-03|一种新型套筒调节阀|CN201720693781.6|CN207178816U|实用新型
2018-03-27|一种套筒调节阀|CN201720862603.1|CN207145646U|实用新型
2018-02-13|一种高效甲醇过滤装置|CN201720862602.7|CN206995980U|实用新型
2018-02-13|一种费托合成反应器|CN201720883170.8|CN206996519U|实用新型
2018-02-06|一种重质油和重质蜡分离处理系统|CN201720911028.X|CN206970539U|实用新型
2018-01-23|一种费托合成蜡罐释放气处理装置|CN201720832609.4|CN206910989U|实用新型
2018-01-16|一种干气密封隔离的装置|CN201720832610.7|CN206889682U|实用新型
2018-01-09|用于甲醇过滤的清洗装置|CN201720693782.0|CN206853252U|实用新型
2018-01-02|一种热风炉|CN201720674969.6|CN206831823U|实用新型
2018-01-02|一种热风炉装置|CN201720665139.7|CN206831825U|实用新型
2018-01-02|燃煤锅炉尾部烟道积灰清除装置|CN201720698919.1|CN206831536U|实用新型
2018-01-02|一种锅炉尾气处理系统|CN201720674970.9|CN206823444U|实用新型
2018-01-02|一种燃煤锅炉尾部水平烟道积灰清除装置|CN201720665915.3|CN206831535U|实用新型
2017-10-17|煤制精细化学品费托合成废水处理系统|CN201710489145.6|CN107253800A|发明专利
2017-01-18|一种间接液化煤基费托合成水分离净化处理系统及方法|CN201410763902.0|CN104692572B|发明专利
2016-08-17|利用费托合成反应器一次还原15t以上催化剂的方法|CN201410074416.8|CN103934044B|发明专利
2015-06-10|一种间接液化煤基费托合成水分离净化处理系统及方法|CN201410763902.0|CN104692572A|发明专利
2014-07-23|利用费托合成反应器一次还原15t以上催化剂的方法|CN201410074416.8|CN103934044A|发明专利
2013-02-13|固体燃料的气化装置及生产合成气体的方法|CN200810246578.X|CN101570699B|发明专利
2012-03-28|淹没出流式洗涤塔|CN200810225877.5|CN101402014B|发明专利
2012-03-28|一种组合式多喷嘴燃烧器|CN200810246579.4|CN101446413B|发明专利
2011-09-07|耐高温浮动球阀|CN201020631774.1|CN201963929U|实用新型
2011-06-01|一种气动单座双向密封轨道球阀|CN201020617345.9|CN201851759U|实用新型
2011-03-30|一种高温高压环境下应用的气化炉测温装置|CN201020511828.0|CN201780171U|实用新型
2011-01-26|带有旋转刮刷装置的沉降槽|CN200810225876.0|CN101402005B|发明专利
2011-01-26|金属薄膜式减压阀|CN200810246580.7|CN101446363B|发明专利
2010-09-29|金属硬密封球阀|CN200810246581.1|CN101446355B|发明专利
2010-09-08|高压气体、固体颗粒和水的混合体分离装置|CN200710123463.7|CN101066512B|发明专利
2010-01-06|三通换向阀|CN200820124595.1|CN201377623Y|实用新型
2009-11-11|一种降低气化炉合成气带水量的装置|CN200610137887.4|CN100558864C|发明专利
2009-11-04|固体燃料的气化装置及生产合成气体的方法|CN200810246578.X|CN101570699A|发明专利
2009-10-21|一种气化炉激冷环|CN200610137885.5|CN100552006C|发明专利
2009-06-03|一种组合式多喷嘴燃烧器|CN200810246579.4|CN101446413A|发明专利
2009-06-03|金属薄膜式减压阀|CN200810246580.7|CN101446363A|发明专利
2009-06-03|金属硬密封球阀|CN200810246581.1|CN101446355A|发明专利
2009-04-08|带有旋转刮刷装置的沉降槽|CN200810225876.0|CN101402005A|发明专利
2009-04-08|淹没出流式洗涤塔|CN200810225877.5|CN101402014A|发明专利
2008-05-21|一种粉料固体流态化装置|CN200720151766.5|CN201062168Y|实用新型
2007-11-07|高压气体、固体颗粒和水的混合体分离装置|CN200710123463.7|CN101066512A|发明专利
2007-07-11|一种降低气化炉合成气带水量的装置|CN200610137887.4|CN1995292A|发明专利
2007-06-27|可燃粉体旋流组合燃烧器|CN200510079701.X|CN1323260C|发明专利
2007-04-11|一种气化炉激冷环|CN200610137885.5|CN1944591A|发明专利
2005-11-30|可燃粉体旋流组合燃烧器|CN200510079701.X|CN1702375A|发明专利
