土右环表[2016]7号|关于内蒙古华亿能源股份有限公司府东路加油站项目环境影响报告表的批复|-|-|土右旗环境保护局|建设项目环境影响报告表... 更多
土右环表[2017]7号|关于土右旗城区及工业园区燃煤锅炉改造天然气工程环境影响报告表的批复|-|-|土右旗环境保护局|建设项目环境影响报告表... 更多
建字第150221201721号|建设工程规划许可证|-|-|土默特右旗规划局|长呼天然气管道复线土右旗门站... 更多
-|-|-|-|包头市土默特右旗地方税务局萨拉齐税源管理所|-... 更多
土环验[2015]4号|土右旗环境保护局关于包头市华亿能源有限责任公司土右旗萨拉齐镇CNG母站、加气站工程竣工环境保护验收的意见|-|-|土右旗环境保护局|建设竣工环境保护验收申请表... 更多
土右住建燃证字第001号|内蒙古华亿能源股份有限公司燃气经营许可证|-|-|土默特右旗住房和城乡建设局|准许内蒙古华亿能源股份有限公司开展燃气（CNG加气业务）经营活动... 更多
建字第150221201617号|建设工程规划许可证|-|-|土默特右旗规划局|府东路加油站... 更多
地字第150221201719号|建设用地规划许可证|-|-|土默特右旗规划局|长呼天然气管道复线土右旗门站... 更多
地字第150221201619号|建设用地规划许可证|-|-|土默特右旗规划局|长呼天然气管道复线土右旗门站... 更多
TS42B021-2022|气瓶充装单位资格许可证书|2018-03-03|2022-03-02|包头市质量技术监督局|车用压缩天然气气瓶充装... 更多
核字第150221201805|建设工程竣工规划核实合格证|2018-06-14|-|包头市土右旗规划局|府东加油站... 更多
核字第150221201807|建设工程竣工规划核实合格证|2018-07-20|-|包头市土右旗规划局|长呼天然气管道复线土右旗门站... 更多
土右住建燃证字第04号|燃气经营许可证|2019-04-01|2023-03-31|包头市土右旗住房和城乡建设局|根据《城镇燃气管理条例》（国务院令第583号）的有关规定，经审查，准许你企业从事本证所载明的燃气经营业务，特发此证。... 更多
