2018-10-17|张某1与丁某1、丁某等民间借贷纠纷一审民事判决书|民间借贷纠纷|被告-内蒙古奥博耐磨铸业有限公司|（2018）晋0202民初986号|https://www.tianyancha.com/lawsuit/15918451b72a44a4b05526b8f9517c88
2017-12-15|乌兰察布市汇元投资担保有限公司申请执行被执行人内蒙古奥博耐磨铸业有限公司公正债权文书纠纷一审执行裁定书|-|申请执行人-乌兰察布市汇元投资担保有限公司被执行人-内蒙古奥博耐磨铸业有限公司|（2017）内0981执450号之一|https://www.tianyancha.com/lawsuit/c86d74e80cb511e881ec008cfaf870e0
2017-12-12|内蒙古奥博耐磨铸业有限公司、安徽宁国市新高新钢球衬板有限公司买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古奥博耐磨铸业有限公司被上诉人-安徽宁国市新高新钢球衬板有限公司|（2017）皖18民终515号|https://www.tianyancha.com/lawsuit/ca27f6a40c2411e881ec008cfaf870e0
2017-12-05|原告史景才与被告内蒙古奥博耐磨铸业有限公司、丁吉盔借款合同纠纷一案一审民事裁定书|借款合同纠纷|被告-内蒙古奥博耐磨铸业有限公司|（2015）城民初字第2490号|https://www.tianyancha.com/lawsuit/10dd945b958311e8a8b47cd30ae00894
2017-12-05|原告史景才诉被告内蒙古奥博耐磨铸业有限公司、丁吉奎借款合同纠纷一案一审民事判决书|借款合同纠纷|被告-内蒙古奥博耐磨铸业有限公司|（2015）城民初字第2490号|https://www.tianyancha.com/lawsuit/10f47518958311e8a8b47cd30ae00894
2017-11-28|安徽宁国市新高新钢球衬板有限公司、内蒙古奥博耐磨铸业有限公司执行实施类执行裁定书|-|申请执行人-安徽宁国市新高新钢球衬板有限公司被执行人-内蒙古奥博耐磨铸业有限公司|（2017）皖1881执1613号|https://www.tianyancha.com/lawsuit/ca1b17a60c2411e881ec008cfaf870e0
2017-10-01|安徽宁国市新高新钢球衬板有限公司与内蒙古奥博耐磨铸业有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-安徽宁国市新高新钢球衬板有限公司被告-内蒙古奥博耐磨铸业有限公司|（2016）皖1881民初2602号|https://www.tianyancha.com/lawsuit/ca6327770c2411e881ec008cfaf870e0
2017-07-25|内蒙古奥博耐磨铸业有限公司、安徽宁国市新高新钢球衬板有限公司买卖合同纠纷二审民事裁定书|买卖合同纠纷|上诉人-内蒙古奥博耐磨铸业有限公司被上诉人-安徽宁国市新高新钢球衬板有限公司|（2016）皖18民辖终109号|https://www.tianyancha.com/lawsuit/484174a109cc11e881ec008cfaf870e0
2016-11-08|内蒙古奥博耐磨铸业有限公司与宁国市新高新钢球衬板有限公司买卖合同纠纷管辖权二审民事裁定书|买卖合同纠纷|上诉人-内蒙古奥博耐磨铸业有限公司被上诉人-安徽宁国市新高新钢球衬板有限公司|（2016）皖18民辖终109号|https://www.tianyancha.com/lawsuit/6748a0867e404d419ecc6ecad362d284
2015-12-29|原告赵存诉被告内蒙古奥博耐磨铸业有限公司借款合同纠纷一一审民事判决书|借款合同纠纷|被告-内蒙古奥博耐磨铸业有限公司|（2015）丰民初字第840号|https://www.tianyancha.com/lawsuit/88a590f6645244ab8fdb8c99dfc8a293
2015-12-29|原告赵某某诉被告内蒙古奥博耐磨铸业有限公司借款合同纠纷一审民事判决书|借款合同纠纷|被告-内蒙古奥博耐磨铸业有限公司|（2015）丰民初字第840号|https://www.tianyancha.com/lawsuit/d0fa588d6388439992da7788af657cdb
2015-10-20|丰镇市第一建筑工程有限公司申请执行蒙古奥博耐磨铸业有限公司一审执行裁定书|-|申请执行人-丰镇市第一建筑工程有限责任公司第一分公司被执行人-内蒙古奥博耐磨铸业有限公司|（2015）丰执字第28-4号|https://www.tianyancha.com/lawsuit/95dcf2581cb611e6b554008cfae40dc0
2015-04-17|丰镇市第一建筑工程有限责任公司第一分公司执行裁定书1|-|申请执行人-丰镇市第一建筑工程有限责任公司第一分公司被申请执行人-内蒙古奥博耐磨铸业有限公司|（2015）丰执字第28号|https://www.tianyancha.com/lawsuit/1173b5441cbb11e6b554008cfae40dc0
2015-01-26|丰镇市第一建筑工程有限责任公司第一分公司执行裁定书|-|申请执行人-丰镇市第一建筑工程有限责任公司第一分公司被申请执行人-内蒙古奥博耐磨铸业有限公司|（2015）丰执字第28号|https://www.tianyancha.com/lawsuit/e6a458fd1cb911e6b554008cfae40dc0
