2019-01-08|含氟弹性体、具有该含氟弹性体的树脂组合物及制备方法|CN201610924380|CN106496397B|发明专利
2019-01-08|耐低温含氟弹性体及其制备方法|CN201610924385|CN106632793B|发明专利
2017-07-25|一种3,3,3‑三氟丙基二甲基硅烷基丙烯醚的合成方法|CN201710111920.4|CN106977537A|发明专利
2017-05-10|耐低温含氟弹性体及其制备方法|CN201610924385.X|CN106632793A|发明专利
2017-03-15|含氟弹性体、具有该含氟弹性体的树脂组合物及制备方法|CN201610924380.7|CN106496397A|发明专利
2015-09-09|一种二烷基一氯硅烷的合成方法|CN201510329378.0|CN104892659A|发明专利
2015-09-09|一种3，3，3-三氟丙烯二甲基一氯硅烷的合成方法|CN201510330030.3|CN104892660A|发明专利
2012-10-24|采用二氟一氯乙烷工艺的高沸物制备二氟溴乙酸乙酯的方法|CN201210268221.8|CN102746150A|发明专利
2012-07-04|一种耐高温和高透明的聚三氟氯乙烯的制备方法|CN201010542727.4|CN102020737B|发明专利
2011-04-20|一种耐高温和高透明的聚三氟氯乙烯的制备方法|CN201010542727.4|CN102020737A|发明专利
