内煤局字〔2016〕184号|关于印发《内蒙古牙克石五九煤炭（集团）有限责任公司胜利煤矿产业升级改造项目竣工验收意见书》的通知|-|-|内蒙古自治区煤炭工业局|胜利煤矿产业升级改造项目竣工验收
C1500002010121120086469|采矿许可证|-|-|内蒙古自治区国土资源厅|采矿权变更申请
C1500002009041120012816|采矿许可证|-|-|内蒙古自治区国土资源厅|采矿权延续申请
JY31507820013973|食品经营许可证|-|-|呼伦贝尔市牙克石市食品药品监督管理局|热食类食品制售***
呼环验[2016]2号|关于牙克石五九煤炭（集团）有限责任公司胜利煤矿(1.2Mt/a)产业升级技术改造项目竣工环境保护验收合格的函|-|-|呼伦贝尔市环境保护局|牙克石五九煤炭（集团）有限责任公司胜利煤矿(1.2Mt/a)产业升级技术改造项目竣工环境保护验收合格
（蒙）MK安许证字〔2016 ED013〕|安全生产许可证|-|-|内蒙古煤矿安全监察局|内蒙古牙克石五九煤炭（集团）胜利煤矿安全生产许可证颁发
C1500002010021220056544|采矿许可证|-|-|内蒙古自治区国土资源厅|采矿权延续申请
JY31507820013965|食品经营许可证|-|-|呼伦贝尔市牙克石市食品药品监督管理局|热食类食品制售***
[2012]呼量标呼企证字第016号|计量标准考核证书|-|-|呼伦贝尔市市场监督管理局|计量标准器具核准
-|国家税务局批文|2017年07月06日|9999年12月31日|牙克石市国家税务局|文书字轨：牙国 许准字 〔2017〕 第41 号
（蒙）MK安许证字【2014】EQ020|矿山企业安全生产许可证|2017年08月05日|2020年08月04日|内蒙古煤矿安全监察局|企业主要负责人变更
牙水字【2017】第17012号|取水许可证|2017年09月13日|2022年09月12日|呼伦贝尔市牙克石市水利局|取水许可
牙市监动押字（2018）1号|动产抵押|2018年01月24日|2021年01月23日|呼伦贝尔市牙克石市工商行政管理局|动产抵押
C1500002010121120086469|采矿许可证|2018年05月07日|2019年05月07日|内蒙古自治区国土资源厅|采矿权延续申请
C1500002009121120050019|采矿许可证|2018年11月28日|2019年06月06日|内蒙古自治区国土资源厅|采矿权变更申请2018
C1500002011061120113663|采矿许可证|2016年04月08日|-|内蒙古自治区国土资源厅|地下开采
蒙MK安许证字【2016ED013|安全生产许可证|2016年06月30日|-|内蒙古煤矿安全监察局|煤炭开采
