赤环审字[2014]63号|关于内蒙古玉峰矿业集团有限责任公司继兴铅锌矿选矿厂重金属污染综合治理项目环境影响报告书的批复|-|-|赤峰市环境保护局|内蒙古玉峰矿业集团有限责任公司继兴铅锌矿选矿厂重金属污染综合治理项目环境影响评价文件报批许可
T15120081002017028|勘查许可证|-|-|内蒙古自治区国土资源厅|盟市探矿权变更申请
C1500002009123220050318|采矿许可证|-|-|内蒙古自治区国土资源厅|采矿权延续申请
T15120100302039930|勘查许可证|2017年11月13日|2019年11月12日|内蒙古自治区国土资源厅|盟市探矿权变更申请
T15520110102043584|勘查许可证|2018年01月02日|2020年01月01日|内蒙古自治区国土资源厅|盟市探矿权变更申请
T15120080202002539|勘查许可证|2018年01月13日|2020年01月12日|内蒙古自治区国土资源厅|盟市探矿权变更申请
T15120080403005259|勘查许可证|2018年01月21日|2020年01月20日|内蒙古自治区国土资源厅|盟市探矿权变更申请
T15120080402005222|勘查许可证|2018年01月21日|2020年01月20日|内蒙古自治区国土资源厅|盟市探矿权变更申请
C1500002009073220029851|采矿许可证|2018年07月03日|2019年07月03日|内蒙古自治区国土资源厅|采矿权延续申请2018
T15420181102054951|勘查许可证|2018年11月22日|2021年11月21日|内蒙古自治区国土资源厅|盟市探矿权新立申请 2018
蒙FM安许证字（2013）004463号|安全生产许可证|2013年04月03日|-|内蒙古自治区安全生产监督管理局|铅矿、锌矿地下开采
c1500002013093210131315|采矿许可证|2013年09月05日|-|内蒙古自治区国土资源厅|锌矿、铅、铜、银
（蒙）FM安许证字（2016）005866号|安全生产许可证|2016年11月02日|-|内蒙古自治区安全生产监督管理局|铅矿、锌矿地下开采，尾矿库运行
