2019-01-09|内蒙古白银矿业开发有限责任公司与卢孔团、青格力排除妨害纠纷二审民事判决书|排除妨害纠纷|上诉人-内蒙古白银矿业开发有限责任公司|（2018）内25民终1635号|https://www.tianyancha.com/lawsuit/5d573431145311e9a8b47cd30ae00894
2017-12-30|阿巴嘎旗金原萤石矿业有限责任公司与内蒙古白银矿业开发有限责任公司建设工程施工合同纠纷二审民事裁定书|建设工程施工合同纠纷|上诉人-阿巴嘎旗金原萤石矿业有限责任公司被上诉人-内蒙古白银矿业开发有限责任公司|（2017）内民终字136号|https://www.tianyancha.com/lawsuit/44c9c8433f6d11e8b0207cd30ae00c08
2017-12-30|内蒙古白银矿业开发有限责任公司与阿巴嘎旗金原萤石矿业有限责任公司建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-内蒙古白银矿业开发有限责任公司被告-阿巴嘎旗金原萤石矿业有限责任公司|（2016）内25民初27号|https://www.tianyancha.com/lawsuit/d0b649266acb11e8a8b47cd30ae00894
2017-12-22|甘肃省庆阳市建筑安装工程有限责任公司与内蒙古白银矿业开发有限责任公司建设工程施工合同纠纷执行裁定书|建设工程施工合同纠纷|申请执行人-甘肃省庆阳市建筑安装工程有限责任公司被执行人-内蒙古白银矿业开发有限责任公司|（2016）甘04执62号之五|https://www.tianyancha.com/lawsuit/2b530bf93c1811e8b0207cd30ae00c08
2017-12-04|内蒙古易元明通机械有限责任公司诉内蒙古白银矿业开发有限责任公司买卖合同纠纷一审民事判决书|买卖合同纠纷|被告-内蒙古白银矿业开发有限责任公司|（2013）阿巡初字第89号|https://www.tianyancha.com/lawsuit/d7fb66a1408411e8b0207cd30ae00c08
2017-02-10|甘肃省庆阳市建筑安装工程有限责任公司与内蒙古白银矿业开发有限责任公司、白银有色集团股份有限公司建设工程施工合同纠纷申诉、申请民事裁定书|建设工程施工合同纠纷|再审申请人-内蒙古白银矿业开发有限责任公司被申请人-甘肃省庆阳市建筑安装工程有限责任公司,白银有色集团股份有限公司|（2016）最高法民申3565号|https://www.tianyancha.com/lawsuit/a0fd7768db3549e0bbf1ce91515e269a
2016-06-27|上诉人内蒙古白银矿业开发有限责任公司与被上诉人甘肃省庆阳市建筑安装工程有限责任公司、原审被告白银有色集团股份有限公司建设工程施工合同纠纷一案二审民事判决书|建设工程施工合同纠纷|上诉人-内蒙古白银矿业开发有限责任公司被上诉人-甘肃省庆阳市建筑安装工程有限责任公司,白银有色集团股份有限公司|（2016）甘民终158号|https://www.tianyancha.com/lawsuit/d014900341d948ca8819a8abccc1c60b
2016-04-20|内蒙古白银矿业开发有限责任公司与阿巴嘎旗金源矿业有限责任公司公司解散纠纷二审民事裁定书|公司解散纠纷|上诉人-内蒙古白银矿业开发有限责任公司|（2016）内25民辖终10号|https://www.tianyancha.com/lawsuit/7a82c45937ee4577a857f09a79721297
2016-02-02|内蒙古白银矿业开发有限责任公司与中卫市昌达耐磨材料有限公司买卖合同纠纷复议裁定书|买卖合同纠纷|申请复议人-内蒙古白银矿业开发有限责任公司,中卫市昌达耐磨材料有限公司|（2016）甘04执复7号|https://www.tianyancha.com/lawsuit/3691f81e7f394420b4ffcf5420063719
2015-12-17|内蒙古白银矿业开发有限责任公司（以下简称白银矿业公司）与被申请人中卫市昌达耐磨材料有限公司（以下简称中卫昌达公司）订货合同纠纷民事再审裁定书|合同纠纷|再审申请人-内蒙古白银矿业开发有限责任公司被申请人-中卫市昌达耐磨材料有限公司|（2015）白中民申字第17号|https://www.tianyancha.com/lawsuit/691861e9b0ef49d0870e7a152ef10169
2015-11-19|内蒙古白银矿业开发有限责任公司与阿巴嘎旗金原萤石矿业有限责任公司股东知情权纠纷二审民事判决书|股东知情权纠纷|上诉人-内蒙古白银矿业开发有限责任公司被上诉人-阿巴嘎旗金原萤石矿业有限责任公司|（2015）锡商终字第39号|https://www.tianyancha.com/lawsuit/2e3c0ee31ea049d98b9404a697396f41
