2019-04-26|一种外压式中空纤维膜组件|CN201820976453.1|CN208786175U|实用新型
2019-04-16|一种自清洁连续过滤设备|CN201910055584.5|CN109621518A|发明专利
2018-09-21|一种外压式中空纤维膜组件|CN201810658684|CN108554182A|发明专利
2017-10-10|一种易清洗、易更换的中空纤维膜组件|CN201621224079.7|CN206543527U|实用新型
2017-09-12|一种刷式自清洗过滤器|CN201720168310.3|CN206483216U|实用新型
2017-07-18|一种多介质过滤器|CN201621236911.5|CN206334408U|实用新型
2017-06-23|一种节水型净水机|CN201621224289.6|CN206273791U|实用新型
2017-06-06|一种石英砂过滤器|CN201621223487.0|CN206214848U|实用新型
2017-05-31|一种多介质过滤器|CN201611015283.2|CN106731061A|发明专利
2017-05-24|一种刷式自清洗过滤器|CN201710101496.5|CN106693480A|发明专利
2017-05-10|一种石英砂过滤器|CN201611001577.X|CN106621495A|发明专利
2017-05-10|一种去除饮用水中放射性污染物的工艺装置|CN201710101647.7|CN106630304A|发明专利
2017-03-15|一种节水型净水机|CN201611002373.8|CN106495345A|发明专利
2017-02-22|一种易清洗、易更换的中空纤维膜组件|CN201611002167.7|CN106422789A|发明专利
2017-02-15|超滤膜组件|CN201630482130.3|CN304047052S|外观专利
2017-01-11|过滤器（精密）|CN201630482129.0|CN304006999S|外观专利
