盟科前字【2015】第00015|取水许可证|-|-|科尔沁右翼前旗水务局|取用地下水
备案号: 〔2016〕039号|综合商贸仓储物流中心建设项目备案确认书|-|-|乌兰浩特市发改委|总占地面积25.6万平方米（约384.38亩），总建筑面积74592.5平方米。建设规模为形成40万吨的仓储能力；植物油仓储能力达到10万吨；集装箱仓储能力达到3500TEU；以及相应的商贸互联网服务平台建设。主要建设内容包括建设成品库、低温库、储粮罩棚、卸粮坑、卸粮棚、包装车间、办公楼、物流配送中心、科研所、车辆修理中心、集装箱货场、储油罐、铁路专用线等设施；购置安装消防监控系统、物流车辆调度系统、龙门吊、装车计量塔、打包作业线、液压平台、大型运输车辆、油罐车、监控摄像头、数据库服务器、终端服务器等相关系统及设备。
蒙0360080·0|粮食收购许可证|-|-|科右前旗商务局|粮食收购
SC12515222100072|《中华人民共和国食品安全法》《食品生产许可管理办法》|-|-|兴安盟食品药品监督管理局|豆制品(其他豆制品)
乌国土资发【2015】595号|老旧厂房改建兴安盟“兴安馆”电子商务综合服务中心项目建设用地的预审意见|-|-|乌兰浩特市国土资源局|建设项目用地预审
兴环审字〔2014〕第30号|兴安盟粮食成品库建设项目环境影响报告表审批意见|-|-|兴安盟环境保护局|同意兴安盟粮食成品库建设项目
1522012017100012|道路运输经营许可证|-|-|乌兰浩特市交通运输管理所|道路货物运输
QS1522 0201 1242|《中华人民共和国食品安全法》|-|-|兴安盟食品药品监督管理局|食用植物油（半精炼、全精炼）
备案号: 〔2017〕016号|兴安盟电子商务产业园跨境电商平台线下体验店建设项目|-|-|乌兰浩特市发展和改革委员会|厂房建设
备案号: 〔2017〕012号|跨境电商公共保税库建设项目|-|-|乌兰浩特市发展和改革委员会|保税库建设
-|政府主管部门批文|2017年07月06日|2019年07月07日|乌兰浩特市发展和改革委员会|内蒙古兴安盟乌兰浩特内蒙古蒙佳粮油工业集团有限公司
（内）农基安加字（2017）第1号|农业转基因生物加工许可|2017年10月13日|2020年10月13日|内蒙古自治区农牧业厅|加工转基因生物原料：大豆    加工产品：大豆油、大豆粕
2018-152201-59-03-012404|政府主管部门批文|2018年06月08日|2020年06月08日|兴安盟乌兰浩特市发展和改革局|建设规模:年保税进口日用百货、粮食及其他保税货物。本项目建设的公用型保税仓库具有仓储、缓税、物流配送、商品展示功能。 建设内容:新建公用型保税仓库二期，项目一期、二期总占地面积14000㎡，其中二期建筑面积4391㎡。 ⑵建设规模
2018-152201-59-03-013055|政府主管部门批文|2018年06月14日|2020年06月14日|兴安盟乌兰浩特市发展和改革局|建设规模:本项目总占地面积25.6万平方米（约384.38亩），总建筑面积97711平方米。 建设内容:1、公路散货作业区，其中的主要建筑是普通货物仓储中心（仓储库）两个、零担管理服务中心、零担货物配送中心；2、液态货物粮油作业区，其中主要建设项目是灌装服务区、仓储中心、理车间；3、公路集装箱作业区，主要建设项目有甩挂服务中心；4、公铁集装箱作业（甩挂）区，其中主要建设项目为甩挂及集装箱堆场区；5、.物联云仓区，主要建设项目有货物中转及流通中心、城市及周边区域配送中心、物联云仓；6、.保税监管区，主要建设项目有公用型保税仓库、进口保税仓、监管仓库；7、停车、维修区，主要建设项目有停车区、流机库、维修车间；8、冷链物流仓储区，主要建筑是冷链物流仓；9、兴安盟陆港物流信息中心，主要建筑物是兴安陆港物流信息服务大厦；10、生活服务区，主要建筑是生活服务中心；11、附属设施区，主要建筑是锅炉房、变电所、门房、污水处理、消防水池；12、铁路散货作业区，主要是有两个作业区组成。
2018-152201-59-03-015355|政府主管部门批文|2018年07月06日|2020年07月06日|兴安盟乌兰浩特市发展和改革局|建设规模:兴安盟陆港物流园（二期）项目总占地834亩，总建筑面积28万平方米。 建设内容:陆港物流仓储区；陆港集装箱、车辆调度站；物流信息交易中心；兴安盟电子商务运营中心；物流企业总部；城市配送中心；展示体验中心；保税进口产品直营店及生活配套区等
