包发改审批字〔2016〕95号|明华学府项目|-|-|包头市发展和改革委员会|总建筑面积14.5万平方米。住宅楼、商业办公建筑、公共配套建筑、地下停车场以及小区道路、绿化、硬化、亮化等公共配套基础设施项目。... 更多
条字第150207201500049号|建设用地规划条件书|-|-|包头市规划局|商住项目... 更多
九国 许准 〔2016〕 312 号|《准予税务行政许可决定书》|-|-|包头市九原区国家税务局|对增值税防伪税控系统最高开票限额的审批... 更多
包公消审字〔2016〕第0123号 |建设工程消防设计审核意见书|-|-|包头市公安消防支队|建设工程消防设计审核... 更多
2016-0058|商品房预（销）售许可证|-|-|包头市住房保障和房屋管理局|九原区沙河街北侧,经十二路西侧,经二十一路东侧明华学府1-4号住宅楼... 更多
建字第150207201600032号|建设工程规划许可证|-|-|九原区规划分局|用地性质：商住用地，等... 更多
地字第150207201600040号|建设用地规划许可证|2016-06-03|-|包头市规划局|明华学府... 更多
地字第150207201600040号|建设用地规划许可证|2016-06-03|2016-06-03|九原区规划分局|用地性质：居住兼容商业用地，等... 更多
2017-0012|商品房预售许可|2017-06-09|-|2017/6/9|九原区沙河街北侧经十二路西侧经二十一路东侧明华学府1-3号商业楼... 更多
2017-0012|商品房预售许可|2017-06-09|-|包头市住房保障和房屋管理局|九原区沙河街北侧经十二路西侧经二十一路东侧明华学府1-3号商业楼... 更多
核字第150207201900001号|建设工程竣工规划核实合格证|2019-02-26|2099-12-31|包头市规划局|明华学府... 更多
地字第150221201907号|《建设用地规划许可证》|2019-03-28|2020-03-28|包头市土右旗规划局|明华泰和府商住小区《建设用地规划许可证》... 更多
建字第150221201914号|《建设工程规划许可证》|2019-04-11|2021-04-11|包头市土右旗规划局|明华泰和府商住小区《建设工程规划许可证》... 更多
