 建字第150221201456号|建设工程规划许可证|-|-|土右旗规划局|土右旗110国道康卜子LNG汽车加气站... 更多
包环管字【2014】213号|关于包头市寰达新能源有限责任公司建设二期日处理30万标立方米天然气液化项目环境影响报告书的批复|-|-|包头市环保局|建设二期日处理30万标立方米天然气液化项目... 更多
核字第150221201606号|内蒙古自治区建设工程竣工规划核实合格证|-|-|土右旗规划局|土右旗110国道康卜子LNG汽车加气站... 更多
地字第150221201437号|建设用地规划许可证|-|-|土右旗规划局|土右旗110国道康卜子LNG汽车加气站... 更多
包公消验字[2015]第0058号|建设工程消防验收意见书|-|-|包头市公安消防支队|建设工程消防验收... 更多
条字第150221201501|内蒙古自治区建设用地规划条件书|-|-|土右旗规划局|加气站... 更多
包公消验字[2015]第0036号|建设工程消防验收意见书|-|-|包头市公安消防支队|建设工程消防验收... 更多
核字第150221201620号|内蒙古自治区建设工程竣工规划核实合格证|-|-|土右旗规划局|日处理30万立方米天然气液化项目... 更多
包公消审字〔2015〕第0010号 |建设工程消防设计审核意见书|-|-|包头市公安消防支队|建设工程消防设计审核... 更多
土环验[2015]5号|土右旗环境保护局关于包头市寰达新能源有限责任公司土右旗110国道康卜子LNG汽车加气站项目竣工环境保护验收的意见|-|-|土右旗环境保护局|建设项目竣工环境保护验收申请表... 更多
土环验〔2018〕3号|包头市寰达新能源有限责任公司39号LNG汽车加气站项目（一期工程）噪声、固废污染防治设施竣工环境保护验收意见|2018-03-15|-|包头市土右旗环境保护局|建设项目竣工环境保护验收... 更多
