地字第150204201500018号|建设用地规划许可证|-|-|包头市规划局|年产5000吨高性能钕铁硼及后加工项目... 更多
包公消审字〔2015〕第0170号|建设工程消防设计审核意见书|-|-|包头市公安消防支队|建设工程消防设计审核... 更多
建字第150204201600005号|建设工程规划许可证|-|-|包头市规划局|生产车间、研发中心、办公楼、服务中心、水泵房、锅炉房、综合楼、仓储及检测间... 更多
包公消审字〔2016〕第0044号|建设工程消防设计审核意见书|-|-|包头市公安消防支队|建设工程消防设计审核... 更多
150200201611100101|施工许可|-|-|包头稀土高新区建设环保局（建设）|包头金山磁材有限公司1#坯料车间、1#加工车间、铸片车间、机修间及10KV开闭站、水泵房、2#加工车间、综合楼、服务中心工程... 更多
-|-|-|-|包头稀土高新技术产业开发区国家税务局|-... 更多
XTCR[2015]6号|出让合同|2015-05-14|-|高新区国土局|土地使用权出让... 更多
150200 201611100101|建筑工程施工许可|2016-11-10|-|包头稀土高新技术产业开发区建设环保局|包头金山磁材有限公司1#坯料车间、1#加工车间、铸片车间、机修间及10KV开闭站、水泵房、2#加工车间、综合楼、服务中心工程... 更多
150200 201709290101|建筑工程施工许可|2017-09-29|-|包头稀土高新技术产业开发区建设环保局|包头金山磁材有限公司仓储及检测车间工程... 更多
150200 201710190101|建筑工程施工许可|2017-10-09|-|包头稀土高新技术产业开发区建设环保局|包头金山磁材有限公司2#坯料车间工程... 更多
包开环审字〔2017〕25号|关于包头金山磁材有限公司年产5000吨高性能钕铁硼电镀项目环境影响报告书的批复|2100-01-01|-|包头稀土高新技术产业开发区建设环保局|建设项目环境影响评价文件审批... 更多
