2004-09-29|高效沟通管理系统|CN02145953.3|CN1169078C|发明专利
2017-02-01|一种聚合支付系统|CN201610796657.2|CN106372877A|发明专利
2017-02-01|一种处理订单的方法和系统|CN201610797985.4|CN106372994A|发明专利
2004-06-02|汉语音位－视位参数的计算机转换方法和系统|CN02117330.3|CN1152336C|发明专利
2003-03-19|高效沟通管理系统|CN02145953.3|CN1403991A|发明专利
2017-02-01|一种长短链转换的方法和系统|CN201610797800.X|CN106375189A|发明专利
2019-05-21|一种基于客服系统的工单自动识别与分配方法及装置|CN201811599237.0|CN109784677A|发明专利
2019-06-11|一种基于用户标识的灰度发布方法、系统、介质及设备|CN201910112750.0|CN109871224A|-
2019-06-07|一种索引库更新方法及装置|CN201910074295.X|CN109857752A|-
2010-07-21|短信过滤、分类方法及系统|CN200910077123.4|CN101784022A|发明专利
2002-11-13|汉语音位－视位参数的计算机转换方法和系统|CN02117330.3|CN1379348A|发明专利
