2019-05-29|北京航天长峰股份有限公司与辽源市中心医院建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-北京航天长峰股份有限公司被告-辽源市中心医院|（2019）吉0402民初385号|https://www.tianyancha.com/lawsuit/f071ebad0ca84d38a229cb24d149d81d
2019-04-01|北京航天长峰股份有限公司与连州北山医院建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-北京航天长峰股份有限公司被告-连州北山医院|（2018）粤1882民初1492号|https://www.tianyancha.com/lawsuit/8b5dae82093149979d4048ead52cb874
2019-02-21|尹志伟与北京航天长峰股份有限公司劳动争议一审民事判决书|劳动争议|被告-北京航天长峰股份有限公司|（2018）京0108民初12639号|https://www.tianyancha.com/lawsuit/d4b4de1341bf42a3ab57853f1c42f14e
2018-12-26|桂林市卓宇商务代理有限责任公司、陈冬梅合同纠纷二审民事裁定书|合同纠纷|上诉人-桂林市卓宇商务代理有限责任公司被上诉人-江西康迎医疗科技有限公司,湛江市环洲商务展览公司,北京航天长峰股份有限公司,广东省第二人民医院|（2018）桂03民终1547号|https://www.tianyancha.com/lawsuit/f5e2474f094611e9a8b47cd30ae00894
2018-12-26|桂林市卓宇商务代理有限责任公司、陈冬梅合同纠纷二审民事裁定书|合同纠纷|上诉人-桂林市卓宇商务代理有限责任公司被上诉人-江西康迎医疗科技有限公司,湛江市环洲商务展览公司,北京航天长峰股份有限公司,广东省第二人民医院|（2018）桂03民终1546号|https://www.tianyancha.com/lawsuit/70a61e8909e111e9a8b47cd30ae00894
2018-12-26|桂林市卓宇商务代理有限责任公司、陈某梅等与江西康迎医疗科技有限公司合同纠纷一审民事裁定书|合同纠纷|原告-桂林市卓宇商务代理有限责任公司被告-江西康迎医疗科技有限公司|（2017）桂0303民初637号|https://www.tianyancha.com/lawsuit/0c6a191a098a11e9a8b47cd30ae00894
2018-11-01|北京航天长峰股份有限公司、河北世达建设集团有限公司建设工程施工合同纠纷二审民事裁定书|建设工程施工合同纠纷|上诉人-北京航天长峰股份有限公司被上诉人-河北世达建设集团有限公司|（2018）冀09民终3634号|https://www.tianyancha.com/lawsuit/46455ecfe14f11e8a8b47cd30ae00894
2018-01-02|湛江市环洲商务展览公司、陈冬梅合同纠纷再审审查与审判监督民事裁定书|合同纠纷|再审申请人-湛江市环洲商务展览公司被申请人-北京航天长峰股份有限公司,江西康迎医疗科技有限公司|（2017）粤民申6310号|https://www.tianyancha.com/lawsuit/092fe178447711e8b0207cd30ae00c08
2017-07-14|湛江市环洲商务展览公司、陈冬梅与江西康迎医疗科技有限公司、北京航天长峰股份有限公司合同纠纷二审民事判决书|合同纠纷|上诉人-湛江市环洲商务展览公司,江西康迎医疗科技有限公司被上诉人-北京航天长峰股份有限公司|（2016）粤01民终6767号|https://www.tianyancha.com/lawsuit/1b907336982611e788a5008cfaf8725a
2015-07-07|湛江市环洲商务展览公司、陈冬梅与江西康迎医疗科技有限公司合同纠纷二审民事裁定书|合同纠纷|上诉人-湛江市环洲商务展览公司被上诉人-北京航天长峰股份有限公司,江西康迎医疗科技有限公司|（2015）穗中法立民终字第1606号|https://www.tianyancha.com/lawsuit/bddad4c51cb511e6b554008cfae40dc0
2015-05-14|北京航天长峰股份有限公司与神州数码信息系统有限公司国内非涉外仲裁裁决执行裁定书|-|申请执行人-北京航天长峰股份有限公司被执行人-神州数码信息系统有限公司|2014年一中执字第00416号|https://www.tianyancha.com/lawsuit/3a1789b673444b9abf2803817895eec5
2014-09-09|徐某、郭某诉北京航天长峰股份有限公司弘华机电技术分公司、北京航天长峰股份有限公司加工合同纠纷一案一审民事裁定书|加工合同纠纷|被告-北京航天长峰股份有限公司弘华机电技术分公司,北京航天长峰股份有限公司|（2014）青民初字第923号|https://www.tianyancha.com/lawsuit/1da9ff481cbb11e6b554008cfae40dc0
2014-07-16|天津大马南方环保工程有限公司与北京航天长峰股份有限公司长峰弘华环保设备分公司、北京航天长峰股份有限公司加工合同纠纷二审民事判决书|加工合同纠纷|上诉人-北京航天长峰股份有限公司长峰弘华环保设备分公司,北京航天长峰股份有限公司被上诉人-天津大马南方环保工程有限公司|（2014）一中民二终字第0204号|https://www.tianyancha.com/lawsuit/39ff73fe1cba11e6b554008cfae40dc0
2014-06-24|河北世达建设集团有限公司与北京航天长峰股份有限公司诉讼保全案件裁定书|-|申请人-河北世达建设集团有限公司被申请人-北京航天长峰股份有限公司|（2014）黄民保字第86-1号|https://www.tianyancha.com/lawsuit/1a6a56031cb711e6b554008cfae40dc0
2014-06-03|北京航天长峰股份有限公司与神州数码信息系统有限公司国内非涉外仲裁裁决执行裁定书|-|申请执行人-北京航天长峰股份有限公司被执行人-神州数码信息系统有限公司|（2014）一中执字第416号|https://www.tianyancha.com/lawsuit/eb878ea91cb711e6b554008cfae40dc0
2014-04-14|天津大马南方环保工程有限公司与北京航天长峰股份有限公司长峰弘华环保设备分公司、北京航天长峰股份有限公司加工合同纠纷一审民事判决书|加工合同纠纷|原告-天津大马南方环保工程有限公司被告-北京航天长峰股份有限公司长峰弘华环保设备分公司,北京航天长峰股份有限公司|（2013）青民二初字第517号|https://www.tianyancha.com/lawsuit/40b6cd2f1cba11e6b554008cfae40dc02019-05-29|北京航天长峰股份有限公司与辽源市中心医院建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-北京航天长峰股份有限公司被告-辽源市中心医院|（2019）吉0402民初385号|https://www.tianyancha.com/lawsuit/f071ebad0ca84d38a229cb24d149d81d
2019-04-01|北京航天长峰股份有限公司与连州北山医院建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-北京航天长峰股份有限公司被告-连州北山医院|（2018）粤1882民初1492号|https://www.tianyancha.com/lawsuit/8b5dae82093149979d4048ead52cb874
2019-02-21|尹志伟与北京航天长峰股份有限公司劳动争议一审民事判决书|劳动争议|被告-北京航天长峰股份有限公司|（2018）京0108民初12639号|https://www.tianyancha.com/lawsuit/d4b4de1341bf42a3ab57853f1c42f14e
2018-12-26|桂林市卓宇商务代理有限责任公司、陈冬梅合同纠纷二审民事裁定书|合同纠纷|上诉人-桂林市卓宇商务代理有限责任公司被上诉人-江西康迎医疗科技有限公司,湛江市环洲商务展览公司,北京航天长峰股份有限公司,广东省第二人民医院|（2018）桂03民终1547号|https://www.tianyancha.com/lawsuit/f5e2474f094611e9a8b47cd30ae00894
2018-12-26|桂林市卓宇商务代理有限责任公司、陈冬梅合同纠纷二审民事裁定书|合同纠纷|上诉人-桂林市卓宇商务代理有限责任公司被上诉人-江西康迎医疗科技有限公司,湛江市环洲商务展览公司,北京航天长峰股份有限公司,广东省第二人民医院|（2018）桂03民终1546号|https://www.tianyancha.com/lawsuit/70a61e8909e111e9a8b47cd30ae00894
2018-12-26|桂林市卓宇商务代理有限责任公司、陈某梅等与江西康迎医疗科技有限公司合同纠纷一审民事裁定书|合同纠纷|原告-桂林市卓宇商务代理有限责任公司被告-江西康迎医疗科技有限公司|（2017）桂0303民初637号|https://www.tianyancha.com/lawsuit/0c6a191a098a11e9a8b47cd30ae00894
2018-11-01|北京航天长峰股份有限公司、河北世达建设集团有限公司建设工程施工合同纠纷二审民事裁定书|建设工程施工合同纠纷|上诉人-北京航天长峰股份有限公司被上诉人-河北世达建设集团有限公司|（2018）冀09民终3634号|https://www.tianyancha.com/lawsuit/46455ecfe14f11e8a8b47cd30ae00894
2018-01-02|湛江市环洲商务展览公司、陈冬梅合同纠纷再审审查与审判监督民事裁定书|合同纠纷|再审申请人-湛江市环洲商务展览公司被申请人-北京航天长峰股份有限公司,江西康迎医疗科技有限公司|（2017）粤民申6310号|https://www.tianyancha.com/lawsuit/092fe178447711e8b0207cd30ae00c08
2017-07-14|湛江市环洲商务展览公司、陈冬梅与江西康迎医疗科技有限公司、北京航天长峰股份有限公司合同纠纷二审民事判决书|合同纠纷|上诉人-湛江市环洲商务展览公司,江西康迎医疗科技有限公司被上诉人-北京航天长峰股份有限公司|（2016）粤01民终6767号|https://www.tianyancha.com/lawsuit/1b907336982611e788a5008cfaf8725a
2015-07-07|湛江市环洲商务展览公司、陈冬梅与江西康迎医疗科技有限公司合同纠纷二审民事裁定书|合同纠纷|上诉人-湛江市环洲商务展览公司被上诉人-北京航天长峰股份有限公司,江西康迎医疗科技有限公司|（2015）穗中法立民终字第1606号|https://www.tianyancha.com/lawsuit/bddad4c51cb511e6b554008cfae40dc0
2015-05-14|北京航天长峰股份有限公司与神州数码信息系统有限公司国内非涉外仲裁裁决执行裁定书|-|申请执行人-北京航天长峰股份有限公司被执行人-神州数码信息系统有限公司|2014年一中执字第00416号|https://www.tianyancha.com/lawsuit/3a1789b673444b9abf2803817895eec5
2014-09-09|徐某、郭某诉北京航天长峰股份有限公司弘华机电技术分公司、北京航天长峰股份有限公司加工合同纠纷一案一审民事裁定书|加工合同纠纷|被告-北京航天长峰股份有限公司弘华机电技术分公司,北京航天长峰股份有限公司|（2014）青民初字第923号|https://www.tianyancha.com/lawsuit/1da9ff481cbb11e6b554008cfae40dc0
2014-07-16|天津大马南方环保工程有限公司与北京航天长峰股份有限公司长峰弘华环保设备分公司、北京航天长峰股份有限公司加工合同纠纷二审民事判决书|加工合同纠纷|上诉人-北京航天长峰股份有限公司长峰弘华环保设备分公司,北京航天长峰股份有限公司被上诉人-天津大马南方环保工程有限公司|（2014）一中民二终字第0204号|https://www.tianyancha.com/lawsuit/39ff73fe1cba11e6b554008cfae40dc0
2014-06-24|河北世达建设集团有限公司与北京航天长峰股份有限公司诉讼保全案件裁定书|-|申请人-河北世达建设集团有限公司被申请人-北京航天长峰股份有限公司|（2014）黄民保字第86-1号|https://www.tianyancha.com/lawsuit/1a6a56031cb711e6b554008cfae40dc0
2014-06-03|北京航天长峰股份有限公司与神州数码信息系统有限公司国内非涉外仲裁裁决执行裁定书|-|申请执行人-北京航天长峰股份有限公司被执行人-神州数码信息系统有限公司|（2014）一中执字第416号|https://www.tianyancha.com/lawsuit/eb878ea91cb711e6b554008cfae40dc0
2014-04-14|天津大马南方环保工程有限公司与北京航天长峰股份有限公司长峰弘华环保设备分公司、北京航天长峰股份有限公司加工合同纠纷一审民事判决书|加工合同纠纷|原告-天津大马南方环保工程有限公司被告-北京航天长峰股份有限公司长峰弘华环保设备分公司,北京航天长峰股份有限公司|（2013）青民二初字第517号|https://www.tianyancha.com/lawsuit/40b6cd2f1cba11e6b554008cfae40dc0
