V08|建设部门核发安装维修资质证书|2009年07月08日|-|北京市住房和城乡建设委员会|机电设备安装、工程专业承包二级
-|-|2016年06月03日|2021年02月02日|北京市住房和城乡建设委员会|建筑装修装饰工程专业承包贰级  2009/12/01；建筑机电安装工程专业承包贰级  2009/07/08;电子与智能化工程专业承包贰级  2006/02/07
H06|医疗器械生产许可证|2014年06月03日|2015年07月06日|北京市食品药品监督管理局|Ⅲ类：3-6854-2 呼吸设备，3-6854-3 呼吸麻醉设备及附件
Ⅱ类：2-6854-9 电动、液压手术台，2-6854-13 手术灯，2-6856-1 供氧系统
-|-|2016年02月26日|2021年02月25日|中华人民共和国住房和城乡建设部|环保工程专业承包叁级  2009/07/08
-|-|2018年06月03日|2021年06月02日|北京市住房和城乡建设委员会|建筑施工
-|-|2015年06月04日|2018年06月03日|北京市住房和城乡建设委员会|建筑施工
A211009014|环境工程(水污染防治工程)乙级|2010-03-16|-|北京市规划委员会|工程设计
0211008A5468|高新技术企业认定证书|2002-10-21|-|北京市科学技术委员会|高新技术企业认定
0411008A04698|高新技术企业认定证书|2004-08-13|-|北京市科学技术委员会|高新技术企业认定
-|《医疗器械生产许可证》许可事项变更（增加生产产品或生产地址非文字性变更）|2018-2-11|-|海淀局|Ⅲ类：Ⅲ-6854-2呼吸设备，Ⅲ-6854-3呼吸麻醉设备及附件；Ⅱ类：Ⅱ-6854-9电动、液压手术台，Ⅱ-6854-13手术灯，Ⅱ-6856-1供氧系统，Ⅱ-6821-10呼吸功能及气体分析测定装置，Ⅱ-6823-5便携式超声诊断设备***
京质监许字[2018](海)00300626号|行政许可决定书|2018/08/10|-|北京市质量技术监督局|2台电梯的使用登记，同时颁发《特种设备使用登记证》、《特种设备使用登记表》、《特种设备使用标志》。
B2184011010804|施工企业资质证书|2014-06-03 11:49:10|-|北京市住房和城乡建设委员会|-
D311088946|建筑业企业资质许可（权限内）|2016-2-26 0:00:00|-|北京市住房和城乡建设委员会|环保工程专业承包叁级
D211088294|建筑业企业资质许可（权限内）|2016-2-3 0:00:00|-|北京市住房和城乡建设委员会|电子与智能化工程专业承包贰级，建筑机电安装工程专业承包贰级，建筑装修装饰工程专业承包贰级
(京)JZ安许证字〔2018〕013620|建筑施工企业安全生产许可证核发|2018-6-3 0:00:00|-|北京市住房和城乡建设委员会|建筑施工
(京)JZ安许证字〔2015〕233572|建筑施工安全许可证|2015-06-04|-|北京市住房和城乡建设委员会|建筑施工安全许可证
J1000023314405|开户许可证|2017年8月23日|-|中国人民银行中关村中心支行|变更
J1000023314404|开户许可证|2017年1月1日|-|中国人民银行中关村中心支行|变更V08|建设部门核发安装维修资质证书|2009年07月08日|-|北京市住房和城乡建设委员会|机电设备安装、工程专业承包二级
-|-|2016年06月03日|2021年02月02日|北京市住房和城乡建设委员会|建筑装修装饰工程专业承包贰级  2009/12/01；建筑机电安装工程专业承包贰级  2009/07/08;电子与智能化工程专业承包贰级  2006/02/07
H06|医疗器械生产许可证|2014年06月03日|2015年07月06日|北京市食品药品监督管理局|Ⅲ类：3-6854-2 呼吸设备，3-6854-3 呼吸麻醉设备及附件
Ⅱ类：2-6854-9 电动、液压手术台，2-6854-13 手术灯，2-6856-1 供氧系统
-|-|2016年02月26日|2021年02月25日|中华人民共和国住房和城乡建设部|环保工程专业承包叁级  2009/07/08
-|-|2018年06月03日|2021年06月02日|北京市住房和城乡建设委员会|建筑施工
-|-|2015年06月04日|2018年06月03日|北京市住房和城乡建设委员会|建筑施工
A211009014|环境工程(水污染防治工程)乙级|2010-03-16|-|北京市规划委员会|工程设计
0211008A5468|高新技术企业认定证书|2002-10-21|-|北京市科学技术委员会|高新技术企业认定
0411008A04698|高新技术企业认定证书|2004-08-13|-|北京市科学技术委员会|高新技术企业认定
-|《医疗器械生产许可证》许可事项变更（增加生产产品或生产地址非文字性变更）|2018-2-11|-|海淀局|Ⅲ类：Ⅲ-6854-2呼吸设备，Ⅲ-6854-3呼吸麻醉设备及附件；Ⅱ类：Ⅱ-6854-9电动、液压手术台，Ⅱ-6854-13手术灯，Ⅱ-6856-1供氧系统，Ⅱ-6821-10呼吸功能及气体分析测定装置，Ⅱ-6823-5便携式超声诊断设备***
京质监许字[2018](海)00300626号|行政许可决定书|2018/08/10|-|北京市质量技术监督局|2台电梯的使用登记，同时颁发《特种设备使用登记证》、《特种设备使用登记表》、《特种设备使用标志》。
B2184011010804|施工企业资质证书|2014-06-03 11:49:10|-|北京市住房和城乡建设委员会|-
D311088946|建筑业企业资质许可（权限内）|2016-2-26 0:00:00|-|北京市住房和城乡建设委员会|环保工程专业承包叁级
D211088294|建筑业企业资质许可（权限内）|2016-2-3 0:00:00|-|北京市住房和城乡建设委员会|电子与智能化工程专业承包贰级，建筑机电安装工程专业承包贰级，建筑装修装饰工程专业承包贰级
(京)JZ安许证字〔2018〕013620|建筑施工企业安全生产许可证核发|2018-6-3 0:00:00|-|北京市住房和城乡建设委员会|建筑施工
(京)JZ安许证字〔2015〕233572|建筑施工安全许可证|2015-06-04|-|北京市住房和城乡建设委员会|建筑施工安全许可证
J1000023314405|开户许可证|2017年8月23日|-|中国人民银行中关村中心支行|变更
J1000023314404|开户许可证|2017年1月1日|-|中国人民银行中关村中心支行|变更
