柳审环城证字【2017】031号|柳州市排放污染物许可证|-|-|-|废气
柳审环城园[2017]260号|砍伐、移植、修剪城市树木审批|-|-|-|同意砍伐
柳审环城园[2017]212号|临时占用城市绿化用地审批|-|-|-|同意临时占用
柳环审字[2015]25号|建设项目环境影响评价批复批复|2015年02月09日|-|柳州市环境保护局|-
柳环验字[2015]70号|关于柳工二手整车循环再利用中心项目竣工环境保护验收申请的批复|2015年09月29日|-|柳州市环境保护局|-
柳审环城证字[2016]022号|排污许可证|2016年05月20日|2017年05月19日|柳州市行政审批局|-
柳审环城审字[2017]49号|建设项目环境影响评价文件审批|2017年04月13日|-|柳州市行政审批局|-
车11桂B00310(17)|特种设备使用登记|2017年11月24日|-|柳州市行政审批局|机动工业车辆
车11桂B00309(17)|特种设备使用登记|2017年11月24日|-|柳州市行政审批局|机动工业车辆
车11桂B00311(17)|特种设备使用登记|2017年11月24日|-|柳州市行政审批局|机动工业车辆
车11桂B00318(17)|特种设备使用登记|2017年12月05日|-|柳州市行政审批局|机动工业车辆
车11桂B00319(17)|特种设备使用登记|2017年12月05日|-|柳州市行政审批局|机动工业车辆
容2LC桂B51260|特种设备使用登记|2018年02月05日|-|柳州市行政审批局|固定式压力容器
容2MC桂B51608|特种设备使用登记|2018年02月05日|-|柳州市行政审批局|固定式压力容器
起17桂B00036(18)|特种设备使用登记|2018年03月14日|-|柳州市行政审批局|桥式起重机
起17桂B00037(18)|特种设备使用登记|2018年03月14日|-|柳州市行政审批局|桥式起重机
车11桂B00254(18)|特种设备使用登记|2018年06月12日|-|柳州市行政审批局|机动工业车辆
车11桂B00313(18)|特种设备使用登记|2018年07月02日|-|柳州市行政审批局|机动工业车辆
车11桂B00314(18)|特种设备使用登记|2018年07月02日|-|柳州市行政审批局|机动工业车辆
车11桂B00348(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00347(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00350(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00340(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00341(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00345(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车00桂B00003(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00349(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00342(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车00桂B00002(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00343(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00351(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车00桂B00005(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00346(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车11桂B00344(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|机动工业车辆
车00桂B00004(18)|特种设备使用登记|2018年07月03日|-|柳州市行政审批局|场（厂）内专用机动车辆
梯12桂B00146(18)|特种设备使用登记|2018年07月04日|-|柳州市行政审批局|曳引与强制驱动电梯
车11桂B00417(18)|特种设备使用登记|2018年07月10日|-|柳州市行政审批局|机动工业车辆
车00桂B00011(18)|特种设备使用登记|2018年07月10日|-|柳州市行政审批局|场（厂）内专用机动车辆
梯11桂B03707(18)|特种设备使用登记|2018年10月15日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B03708(18)|特种设备使用登记|2018年10月15日|-|柳州市行政审批局|曳引与强制驱动电梯
车11桂B00988(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B00987(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车00桂B00018(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00986(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B00985(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B00984(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
