1522232016000017|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
1522232016000014|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
2016-009|商品房预售申请书|-|-|翁牛特旗住房和城乡建设局|房地产预售
152223201410170201|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
15042119621007031901|税务登记证|-|-|阿鲁科尔沁旗国家税务局|税务登记
2016-07|建设用地批准书|-|-|翁旗国土局|建设用地使用许可
1522232015000065|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
2016-008|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
扎环审字2015第185号|明泽家园环评批复|-|-|扎赉特旗环境保护局|同意按照环评报告表所列项目选址、性质、规模、环保措施进行建设。
2016-002|商品房预售许可证|-|-|阿鲁科尔沁旗房产管理所|预（销）售商品房
2014-028|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2014-027|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
15222320150000069|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
扎环审字2015第101号|路缘小区二期环评批复|-|-|扎赉特旗环境保护局|同意按照环评报告表所列项目选址、性质、规模、环保措施进行建设。
2016-006|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2016-009|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
（蒙扎旗）字{2016}第003号|取水许可证|-|-|扎赉特旗水务局|取水许可
赤公消审字〔2015〕第0172号|建设工程消防设计审核意见书|-|-|赤峰市公安消防支队|宏远商务大厦消防设计审核
2016-010|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
150426201609190101|施工许可证|-|-|翁牛特旗住房和城乡建设局|康桥郡棚户区改造项目4#、5#、6#商住楼
HP2016022|翁牛特旗白音套海苏木龙门花嘎查龙腾家园建设项目环评批复|-|-|翁牛特旗环境保护局|环评审批通过
赤公消验字〔2016〕第0111号|建设工程消防验收意见书|-|-|赤峰市公安消防支队|宏远商务大厦建设工程消防验收
2016-006|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2016-008|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2016-010|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2016-009|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
-|税务登记证|2017年06月02日|-|赤峰市阿鲁科尔沁旗国家税务局|注销
（2004）D138|房地产开发企业资质证书|2017年09月11日|-|内蒙古自治区住房和城乡建设厅|房地产开发
