2018-12-06|苑永德、赤峰亿辰置业有限公司与胡国强、赵军等建设工程分包合同纠纷二审民事判决书|建设工程分包合同纠纷|上诉人-赤峰亿辰置业有限公司被上诉人-翁牛特旗路源建筑工程有限公司|（2018）内04民终4750号|https://www.tianyancha.com/lawsuit/70f08ff4f91c11e8a8b47cd30ae00894
2018-11-22|翁牛特旗文化广电体育旅游局与翁牛特旗路源建筑工程有限公司、周井成合同纠纷二审民事判决书|合同纠纷|被上诉人-翁牛特旗路源建筑工程有限公司|（2018）内04民终3522号|https://www.tianyancha.com/lawsuit/bd5874ce504d481fb4966c4e25087195
2018-08-31|赤峰巨恒建筑工程有限责任公司与毛炎平、胡国强等劳务合同纠纷二审民事判决书|劳务合同纠纷|上诉人-赤峰巨恒建筑工程有限责任公司被上诉人-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,置业有限责任公司|（2018）内04民终1452号|https://www.tianyancha.com/lawsuit/462de89ab499497892419bb1d9558a6b
2018-07-17|张某与胡某、赵某等建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|被告-赤峰巨恒建筑工程有限责任公司,翁牛特旗路源建筑工程有限公司,赤峰亿辰置业有限公司|（2016）内0425民初2303号|https://www.tianyancha.com/lawsuit/bfdaa8219f3e11e8a8b47cd30ae00894
2018-05-20|丛某与胡某、翁牛特旗路源建筑工程有限公司等承揽合同纠纷一审民事裁定书|承揽合同纠纷|被告-翁牛特旗路源建筑工程有限公司,赤峰亿辰置业有限公司|（2016）内0425民初2304号|https://www.tianyancha.com/lawsuit/6b76acc1a71b4b0f8f5b864cc3f1ac03
2017-10-20|李某与胡某、赵某等劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,赤峰巨恒建筑工程有限责任公司,置业有限责任公司|（2016）内0425民初2203号|https://www.tianyancha.com/lawsuit/5a16a358958311e8a8b47cd30ae00894
2017-10-20|胡某与胡某、赵某等劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,赤峰巨恒建筑工程有限责任公司,置业有限责任公司|（2016）内0425民初2218号|https://www.tianyancha.com/lawsuit/5a4402a5958311e8a8b47cd30ae00894
2017-10-20|李某与胡某、赵某等劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,赤峰巨恒建筑工程有限责任公司,置业有限责任公司|（2016）内0425民初2221号|https://www.tianyancha.com/lawsuit/59afb379958311e8a8b47cd30ae00894
2017-10-20|张某与胡某、赵某等劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,赤峰巨恒建筑工程有限责任公司,置业有限责任公司|（2016）内0425民初2245号|https://www.tianyancha.com/lawsuit/51d852aa401d11e8b0207cd30ae00c08
2017-10-20|倪某与胡某、赵某等劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,赤峰巨恒建筑工程有限责任公司,置业有限责任公司|（2016）内0425民初2232号|https://www.tianyancha.com/lawsuit/07fca2983a5411e8b0207cd30ae00c08
2017-10-20|曹某与胡某、赵某等劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-赤峰亿辰置业有限公司,翁牛特旗路源建筑工程有限公司,赤峰巨恒建筑工程有限责任公司,置业有限责任公司|（2016）内0425民初2217号|https://www.tianyancha.com/lawsuit/35dcb43ce4a511e788a5008cfaf8725a
