15072220160126|建设工程规划许可证|-|-|莫旗住房和城乡建设规划局|高丰公司7#综合楼
15072220160126|建设用地规划许可证|-|-|莫旗住房和城乡建设规划局|高丰公司7#综合楼
（莫国）税许准字【2016】第15号|准予税务行政许可决定书|-|-|莫旗国家税务局|增值税专用发票最高开票限额审批
（莫国）税许准字【2016】第32号|准予税务行政许可决定书|-|-|莫旗国家税务局|增值税专用发票最高开票限额审批
（2016）025号|莫旗高丰公司7#综合楼项目|-|-|莫旗环境保护局|项目总建筑面积1651.50㎡，为三层商服建筑
（2016）024号|莫旗尼尔基镇高丰加油加气站竣工环境保护验收|-|-|莫旗环境保护局|加油站和加气站验收
D315121854|电力工程施工总承包三级、公路工程施工总承包三级|-|-|呼伦贝尔市住房和城乡建设委员会|建筑业企业资质许可
15072220160115|建设用地规划许可证|-|-|莫旗住房和城乡建设规划局|高丰商务酒店附属扩建工程
15072220160115|建设工程规划许可证|-|-|莫旗住房和城乡建设规划局|高丰商务酒店附属扩建工程
-|审批意见|2017年05月16日|-|莫力达瓦达斡尔族自治旗环境保护局|莫旗高丰建筑工程有限公司仓储基地建设项目环境影响报告表
