赤公消审字〔2015〕第0021号|建设工程消防设计审核意见书|-|-|赤峰市公安消防支队|45万吨/年煤焦油加氢（一期）项目工程消防设
计审核
临1504005343|污染物排放许可证|-|-|克什克腾旗环境保护局|同意赤峰博元科技有限公司排放二氧化硫182.03t/a、氮氧化物189.93 t/a、烟尘48.53 t/a、工业粉尘0.79t/a。
克环审字〔2016〕10号|赤峰博元科技有限公司5吨/小时生活污水处理单元、10吨/小时酸性水回收单元项目|-|-|克旗环保局|环评审批
赤公消验字〔2015〕第0091号|建设工程消防验收意见书|-|-|赤峰市公安消防支队|45万吨/年煤焦油加氢（一期）项目建设工
程消防验收
1504002015100007|道路危险货物运输行政许可决定书|-|-|赤峰市运输管理处|危险货物运输（（3类（汽油（31001））、煤焦油（32192））、石脑油（32004））、柴油（T33502）））、6类1项（苯酚（61067））、甲酚（61037））、粗酚（61069））））
（蒙）WH安许证字〔2016〕001029号|安全生产许可证|2016年03月18日|2019年03月17日|赤峰市安全生产监督管理局|苯酚6160吨/年、邻甲酚1864吨/年、间甲酚2216吨/年、对甲酚2216吨/年、煤焦油134948吨/年、液化石油气882吨/年、甲醇150000吨/年
XK13-014-00095|工业产品|2018年01月19日|2023年01月18日|内蒙古质监局|危险化学品有机产品
-|关于赤峰博元科技有限公司跨市转移危险废物的批复|2018年08月10日|2018年09月30日|赤峰市环境保护局|经与乌兰察布市环保局协商，同意赤峰博元科技有限公司将生产过程中产生的废催化剂约29吨（危废代码251-016-50）和废活性炭约2吨（危废代码900-039-49）转移至内蒙古熙泰再生资源处理有限责任公司进行安全处置，运输单位为河南万里运输集团有限公司周口化学危险品分公司，转移有效期截止至2018年9月30日。
