赤环审字[2017]23号|关于平庄西城区集中供热扩建工程环境影响报告书的批复|-|-|赤峰市环境保护局|平庄西城区集中供热扩建工程环境影响评价文件报批许可
取水许可证：取水（蒙元）字[2015]第014号|中华人民共和国取水许可证|-|-|赤峰市元宝山区水利局|年许可取水4.5万立方米
元发改发（2016）64号|“锅炉脱硫除尘改造项目”赤峰市企业投资项目备案确认书|-|-|元宝山区发展和改革局|1、对除尘系统进行技术改造，将4台往复炉排热水锅炉原有陶瓷多管除尘系统更改为静态清灰布袋除尘系统。

2、对脱硫工艺进行技术改造，将原氧化镁脱硫工艺升级为石灰石-石膏法脱硫工艺，SO2的脱硫效率可达到90%以上。

3、将原沉灰池改造为循环浆液池、氧化池、地下泵房隔间三个池子。

4、新建脱硫用渣处理间、煤棚、渣棚各一座。

5、对原有烟囱及烟柜喷玻璃钢鳞片进行防腐处理。


元环审字〔2016〕2号|环评文件批复|-|-|赤峰市元宝山区环境保护局|平庄工矿区西城集中供热改造扩建项目环境影响报告书
元发改发[2016]418号| 关于平庄西城区集中供热扩建工程核准的批复|-|-|元宝山区发展和改革局|建设规模:规划供热面积195万平方米。 建设内容:新建一处热源厂和8座换热站；新建供热管网4121米。
20150508|环评文件批复|-|-|赤峰市环境保护局元宝山区分局|赤峰宝源热力有限责任公司锅炉脱硫除尘技术改造项目环境影响报告表
20151120|环评文件批复|-|-|元宝山区环境保护局|赤峰宝源热力有限责任公司西露天工矿区供热管网改造扩建项目工程环境影响报告表
20160419|环评文件批复|-|-|赤峰市元宝山区环境保护局|赤峰宝源热力有限责任公司锅炉脱硫除尘改造项目环境影响报告表
元发改发[2015]250号|关于西露天工矿区供热管网改造扩建项目核准的批复|2015年11月20日|2017年11月19日|赤峰市元宝山区发展和改革局|建设规模:新增供热面积207万平方米。建设内容:新建供热管网13.721公里；改造供热管网2.827公里；新建换热站17座。
