2019-04-28|神东天隆集团有限责任公司与内蒙古自治区自然资源厅行政撤销一审行政裁定书|-|原告-神东天隆集团有限责任公司|（2018）内0105行初79号|https://www.tianyancha.com/lawsuit/5f8661e49994491884c142ae18a0ae34
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案冻结股权裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号之三|https://www.tianyancha.com/lawsuit/34903164414411e8b0207cd30ae00c08
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案查封裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号之六|https://www.tianyancha.com/lawsuit/766c96ed050e11e881ec008cfaf870e0
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案划拨1裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号之二|https://www.tianyancha.com/lawsuit/f95e29873e5011e8b0207cd30ae00c08
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案冻结股权2裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号|https://www.tianyancha.com/lawsuit/134c249d391111e8b0207cd30ae00c08
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案轮候冻结裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号之一|https://www.tianyancha.com/lawsuit/33d35f7b414511e8b0207cd30ae00c08
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案冻结股权2裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号之四|https://www.tianyancha.com/lawsuit/72450729423611e8b0207cd30ae00c08
2017-12-20|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、殷高潮、江苏太一能源有限公司、扬州天勤投资管理有限公司、扬州天奥能源有限公司买卖合同纠纷一案冻结裁定书|买卖合同纠纷|申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司被执行人-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2017）内0627执2403号之五|https://www.tianyancha.com/lawsuit/df1c460f3c5a11e8b0207cd30ae00c08
2017-11-10|兴业银行股份有限公司呼和浩特分行合同纠纷一审民事裁定书|合同纠纷|原告-鄂尔多斯市乌兰煤炭（集团）有限责任公司被告-兴业银行股份有限公司呼和浩特分行|（2017）内0102民初3347号|https://www.tianyancha.com/lawsuit/56b0684909d111e881ec008cfaf870e0
2017-09-21|鄂尔多斯市乌兰煤炭（集团）有限责任公司与殷高四、扬州天奥能源有限公司等买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-鄂尔多斯市乌兰煤炭（集团）有限责任公司被告-扬州天奥能源有限公司,扬州天勤投资管理有限公司,江苏太一能源有限公司|（2016）内0627民初6014号|https://www.tianyancha.com/lawsuit/7e05feedbb3511e788a5008cfaf8725a
2017-09-21|伊金霍洛旗国土资源局与鄂尔多斯市乌兰煤炭（集团）有限责任公司行政处罚非诉执行审查行政裁定书|-|被申请执行人-鄂尔多斯市乌兰煤炭（集团）有限责任公司|（2017）内0627行审20号|https://www.tianyancha.com/lawsuit/73a678f8443a11e8b0207cd30ae00c08
2017-09-07|鄂尔多斯市乌兰煤炭（集团）有限责任公司与兴业银行股份有限公司呼和浩特分行合同纠纷一审民事裁定书|合同纠纷|原告-鄂尔多斯市乌兰煤炭（集团）有限责任公司被告-兴业银行股份有限公司呼和浩特分行|（2017）内0102民初3347号|https://www.tianyancha.com/lawsuit/a28e4fea977511e788a5008cfaf8725a
2016-10-31|冉福霞诉鄂尔多斯市乌兰煤炭（集团）有限责任公司、第三人白永祥股权转让纠纷一案一审民事裁定书|股权转让纠纷|被告-鄂尔多斯市乌兰煤炭（集团）有限责任公司|（2016）内0627民初3326号|https://www.tianyancha.com/lawsuit/b0501fd2d115435fb3252560f619ab77
2016-04-25|原告李强诉被告鄂尔多斯市乌兰煤炭（集团）有限责任公司劳动争议纠纷一案一审民事撤诉裁定书|劳动争议|被告-鄂尔多斯市乌兰煤炭（集团）有限责任公司|（2015）伊民初字第6313号|https://www.tianyancha.com/lawsuit/055c66c8f925475694d82ecf3643ef1e
2015-11-19|李强与鄂尔多斯市人力资源和社会保障局、第三人鄂尔多斯市乌兰煤炭（集团）有限责任公司行政撤销一审行政判决书|-|-|（2015）东行初字第53号|https://www.tianyancha.com/lawsuit/9e6d446da8d64b6fa214ec71588f266e
