150623S00002|饮用水卫生|-|-|鄂托克前旗卫生和计划生育局|城市集中式供水
鄂前发改审批发〔2016〕8号
　  |上海庙镇污水处理厂提标改造及再生水管网工程的核准|-|-|鄂托克前旗发展和改革局|本期工程按1.0万m3/d规模建设中水处理单元及其附属工程，建于原污水处理厂内，主要建构筑物有原水池、中水池、中水送水泵房、水处理间、蓄水池等。敷设中水输水管网13.81千米。
取水（鄂前）字【2016】第002号|取水许可证|-|-|鄂托克前旗水务和水土保持局|许可在上海庙镇水泉子村、八一村每年取用地下水102.24万立方米供给上海庙镇生活用水
鄂前环评字〔2015〕2号|关于鄂托克前旗上海庙污水处理厂工程钢结构保温棚项目环境影响评价报告表的批复|-|-|鄂托克前旗环境保护局|建设项目环境影响评价报告表批复
鄂前国税 许准 〔2016〕 1 号|对增值税防伪税控系统最高开票限额的审批|-|-|鄂尔多斯市鄂托克前旗国家税务局|核准增值税专用发票防伪税控系统最高开票限额的审批为万元
鄂前国税 许准 〔2016〕 1 号|准予税务行政许可决定书|-|-|鄂托克前旗国家税务局|对增值税防伪税控系统最高开票限额的审批
取水（鄂前）字【2016】第002号|取水许可证|2016年08月25日|2021年08月24日|鄂托克前旗水务和水土保持局|许可在上海庙镇水泉子村、八一村每年取用地下水102.24万立方米供给上海庙镇生活用水
152724201712260118|建设工程施工许可证|2017年10月30日|-|鄂尔多斯市鄂托克前旗住房和城乡规划建设局|鄂托克前旗上海庙镇污水处理厂提标改造及再生水管网工程
取水（鄂前）字【2018】第001号|取水许可证|2018年05月29日|2023年05月28日|鄂尔多斯市鄂托克前旗水务和水土保持局|许可在上海庙镇水泉子村、八一村、牧场年供水量300万立方米。
152724201809210118|建筑工程施工许可证|2018年09月21日|2018年11月28日|鄂尔多斯市鄂托克前旗住房和城乡规划建设局|鄂托克前旗上海庙镇污水处理厂提标改造及再生水管网工程（中水输水管网）
