150721201600013-3|建设用地规划许可证|-|-|阿荣旗住建局|根据《中华人民共和国城乡规划法》第三十七、第三十八条规定，经审核，本用地项目符合城乡规划要求
150700201601280101|建设工程施工许可证|-|-|阿荣旗住建局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
（呼）公消审[2016]第051号|阿荣旗宏大房地产开发有限公司建设工程消防设计审核意见书|-|-|呼伦贝尔市公安消防支队|阿荣旗非公有制经济创业园项目建设工程消防设计
阿国土预字（2016）4号|关于原人和二期（御林湾小区二期）项目用地的预审意见|-|-|阿荣旗国土资源局|建设项目用地预审
150721201600013-1|建设工程规划许可证|-|-|阿荣旗住建局|根据《中华人民共和国城乡规划法》第四十条规定，经审核，本建设工程符合城乡规划要求
152122201604280301|建设工程施工许可证|-|-|阿荣旗住建局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
陈发改备字【2017】3号|阿荣旗宏大房地产开发有限公司宝日希勒桃李住宅小区三期建设工程|-|-|陈巴尔旗发展和改革局|阿荣旗宏大房地产开发有限公司宝日希勒桃李住宅小区三期建设工程
（2017）房预销售证第001号|商品房预销售许可证|-|-|阿荣旗住房和城乡建设局|批准阿荣旗御林湾一期2#楼、3#楼、5#楼、8#楼、10#楼、11#楼、12A#楼、12B#楼商品房预销售，许可销售面积24163.65平方米。
152122201702140201|建设工程施工许可证|-|-|阿荣旗住房和城乡建设局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
（2017）房预销售证第002号|商品房预销售许可证|-|-|阿荣旗住房和城乡建设局|批准阿荣旗御林湾一期1#楼、4#楼、6#楼、7#楼、9#楼、14#楼、15#楼、16#楼商品房预销售，许可预销售面积26662.95平方米。
152122201702140101|建设工程施工许可证|-|-|阿荣旗住房和城乡建设局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
（2017）房预销售证第003号|商品房预销售许可证|-|-|阿荣旗住房和城乡建设局|批准阿荣旗御林湾三期S1#楼、S2#楼商品房预销售，许可预销售面积17407.18平方米。
152122201707200201|建设工程施工许可证|-|-|阿荣旗住房和城乡建设局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
152122201707200101|建设工程施工许可证|-|-|阿荣旗住房和城乡建设局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
莫环审表字（2016）002号|莫旗尼尔基镇纳景名都怡园小区A区工程环境影响报告表|-|-|莫旗环境保护局|总建筑面积为66500㎡房地产开发建设项目
莫环审表字（2016）006号|莫旗纳景名都丽园小区农贸市场建设工程环境影响报告表|-|-|莫旗环境保护局局|建筑面积10600㎡农贸市场建设项目
莫环表验字（2016）7号|莫旗尼尔基镇纳景名都竹园小区二期工程竣工环境保护验收|-|-|莫旗环境保护局|项目占地面积为50000㎡，总建筑面积76894.66㎡，为18栋住宅楼和车库，部分为商服
152122201609260101|建设工程施工许可证|-|-|阿荣旗住建局|根据《中华人民共和国建筑法》第八条规定，经审查，本建设工程符合施工条件，准予施工
（2016）001|莫旗纳景名都怡园小区B区建设项目环境影响登记表审批|-|-|莫旗环境保护局|46700平方米房地产开发建设项目
莫环表验字（2016）8号|莫旗学府佳园小区建设工程竣工环境保护验收|-|-|莫旗环境保护局|项目占地面积为58667.59㎡，总建筑面积99893.16㎡，为19栋楼，包括住宅、车库和商服。
2016-52|阿荣旗宏大房地产开发有限公司宝日希勒桃李小区三期建设工程环境影响评价登记表的批复|-|-|陈巴尔虎旗环保局|环境保护对策措施
（2017）房预销售证第011号|商品房预销售许可证|-|-|阿荣旗住房和城乡建设局|批准百联华府（1#楼、2#楼）商品房预销售许可，预销售面积18222.14平方米
150721201600013-1|建设用地规划许可证|-|-|阿荣旗住建局|根据《中华人民共和国城乡规划法》第三十七、第三十八条规定，经审核，本用地项目符合城乡规划要求
150721201600037|建设用地规划许可证|-|-|阿荣旗住建局|根据《中华人民共和国城乡规划法》第三十七、第三十八条规定，经审核，本用地项目符合城乡规划要求
150721201600013-3|建设工程规划许可证|-|-|阿荣旗住建局|根据《中华人民共和国城乡规划法》第四十条规定，经审核，本建设工程符合城乡规划要求
阿国土预字（2016）5号|关于原人和二期（御林湾小区三期）项目用地的预审意见|-|-|阿荣旗国土资源局|建设项目用地预审
（2016）21号|学府佳园地下停车场建设项目竣工环境保护验收|-|-|莫旗环境保护局|地下停车场面积18448㎡
150721201600013-2|建设工程规划许可证|-|-|阿荣旗住建局|根据《中华人民共和国城乡规划法》第四十条规定，经审核，本建设工程符合城乡规划要求
阿国土预字（2016）3号|关于原人和二期（御林湾小区一期）项目用地的预审意见|-|-|阿荣旗国土资源局|建设项目用地预审
莫环审表字（2016）001号|莫旗纳景名都丽园小区建设工程环境影响报告表审批|-|-|莫旗环保局|总建筑面积为87100㎡的房地产开发项目
