2019-03-26|邱林与霍林郭勒市永兴建设集团有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|被告-霍林郭勒市永兴建设集团有限公司|（2019）内0581民初104号|https://www.tianyancha.com/lawsuit/bd9bbdfb6fda4ee0885c4d514cc8e148
2019-03-19|通辽市运成建筑劳务有限责任公司与霍林郭勒市永兴建设集团有限公司、叶存柱等建设工程分包合同纠纷一审民事判决书|建设工程分包合同纠纷|原告-通辽市运成建筑劳务有限责任公司被告-霍林郭勒市永兴建设集团有限公司,通辽市金辉房地产开发有限公司|（2016）内0502民初6583号|https://www.tianyancha.com/lawsuit/7c1a046272294c9083dd1fdff9b619d0
2018-12-25|霍林郭勒市永兴建设集团有限公司与霍林郭勒市达来胡硕苏木人民政府合同纠纷一审民事裁定书|合同纠纷|原告-霍林郭勒市永兴建设集团有限公司|（2018）内0581民初1750号|https://www.tianyancha.com/lawsuit/427b7fba992146c090b452e9e0ae7482
2018-12-25|裴荣晶与霍林郭勒市旺达建筑安装有限责任公司民间借贷纠纷一审民事判决书|民间借贷纠纷|原告-霍林郭勒市永兴建设集团有限公司被告-霍林郭勒市旺达建筑安装有限责任公司|（2018）内0581民初2190号|https://www.tianyancha.com/lawsuit/f243efd7bfe74f188c40b5dc104d9ea5
2018-12-25|霍林郭勒市永兴建设集团有限公司与刘久力不当得利纠纷一审民事判决书|不当得利纠纷|原告-霍林郭勒市永兴建设集团有限公司被告-霍林郭勒市永兴物业服务有限责任公司|（2018）内0581民初873号|https://www.tianyancha.com/lawsuit/4d42190be1d24ca6921bfc54249eb346
2018-12-17|霍林郭勒市永兴建设集团有限公司与霍林郭勒宏鑫建筑器材租赁有限公司、刘国华建筑设备租赁合同纠纷二审民事裁定书|建筑设备租赁合同纠纷|上诉人-霍林郭勒市永兴建设集团有限公司被上诉人-霍林郭勒宏鑫建筑器材租赁有限公司|（2018）内05民终1130号|https://www.tianyancha.com/lawsuit/8537e63403e611e9a8b47cd30ae00894
2018-12-11|霍林郭勒市永兴建设集团有限公司与通辽经济技术开发区河西镇海旺建筑器材租赁站、巴林左旗华利房地产开发有限责任公司等租赁合同纠纷再审审查与审判监督民事决定书|租赁合同纠纷|申诉人-霍林郭勒市永兴建设集团有限公司被申诉人-通辽经济技术开发区河西镇海旺建筑器材租赁站,巴林左旗华利房地产开发有限责任公司,通辽市科尔沁区和平路西拉木伦酒店|（2018）冀02民监19号|https://www.tianyancha.com/lawsuit/a6b553fefd4e11e8a8b47cd30ae00894
2018-11-09|李计光与张玉春排除妨害纠纷一审民事裁定书|排除妨害纠纷|被告-霍林郭勒市永兴建设集团有限公司|（2018）内0581民初1455号|https://www.tianyancha.com/lawsuit/c8311f1732b74671aaa4940cc96d5b9e
2018-11-02|霍林郭勒市人力资源保障局申请执行霍林郭勒市永兴建设集团有限公司行政非诉纠纷执行裁定书|-|被执行人-霍林郭勒市永兴建设集团有限公司|（2017）内0581执657号|https://www.tianyancha.com/lawsuit/01b96ad5de5411e8a8b47cd30ae00894
2018-11-02|霍林郭勒市人力资源和社会保障局申请执行霍林郭勒市永兴建设集团有限公司行政非诉纠纷执行裁定书|-|被执行人-霍林郭勒市永兴建设集团有限公司|（2017）内0581执1504号|https://www.tianyancha.com/lawsuit/3429c5f5de5611e8a8b47cd30ae00894
2018-11-02|李永强申请执行霍林郭勒市永兴建设集团有限公司借款合同纠纷执行裁定书|借款合同纠纷|被执行人-霍林郭勒市永兴建设集团有限公司|（2018）内0581执569号之七|https://www.tianyancha.com/lawsuit/0670f109de5611e8a8b47cd30ae00894
