2018-12-05|赤峰三川矿业集团有限公司与中金黄金股份有限公司合同纠纷二审民事判决书|合同纠纷|上诉人-赤峰三川矿业集团有限公司被上诉人-中金黄金股份有限公司|（2018）京02民终11288号|https://www.tianyancha.com/lawsuit/8c7d7fc4ff6a11e8a8b47cd30ae00894
2018-07-30|平安银行股份有限公司天津分行、赤峰敖仑花矿业有限责任公司金融借款合同纠纷一审民事裁定书|金融借款合同纠纷|申请人-平安银行股份有限公司天津分行被申请人-赤峰敖仑花矿业有限责任公司,赤峰浩洲矿业有限责任公司,赤峰三川矿业集团有限公司,克什克腾旗玉宝矿业有限责任公司,侨兴集团有限公司|（2017）津民初20号|https://www.tianyancha.com/lawsuit/d72eff58a9dc11e8a8b47cd30ae00894
2018-07-19|2205号内蒙古玉峰矿业集团有限责任公司与赤峰三川矿业集团有限公司借款合同纠纷一案的执行裁定书|借款合同纠纷|申请执行人-内蒙古玉峰矿业集团有限责任公司被执行人-赤峰三川矿业集团有限公司|（2017）内0422执2205号|https://www.tianyancha.com/lawsuit/5156dcfa952611e8a8b47cd30ae00894
2018-05-27|赤峰三川矿业集团有限公司与中金黄金股份有限公司合同纠纷一审民事判决书|合同纠纷|原告-赤峰三川矿业集团有限公司被告-中金黄金股份有限公司|（2018）京0101民初1243号|https://www.tianyancha.com/lawsuit/8d7c9f8e9db411e8a8b47cd30ae00894
2017-12-30|中国建设银行股份有限公司赤峰分行与赤峰敖仑花矿业有限责任公司、赤峰三川矿业集团有限公司等其他民事裁定书|-|申请人-中国建设银行股份有限公司赤峰分行被申请人-赤峰敖仑花矿业有限责任公司,赤峰三川矿业集团有限公司,侨兴集团有限公司,惠州侨兴电讯工业有限公司,中色地科矿产勘查股份有限公司|（2017）内财保1号|https://www.tianyancha.com/lawsuit/9828a3fa2b6b11e8bc346c92bf3bac55
2017-12-28|平安银行股份有限公司天津分行与赤峰浩洲矿业有限责任公司、赤峰三川矿业集团有限公司金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-平安银行股份有限公司天津分行被告-赤峰浩洲矿业有限责任公司,赤峰三川矿业集团有限公司,克什克腾旗玉宝矿业有限责任公司,侨兴集团有限公司,惠州侨兴电讯工业有限公司,惠州侨兴电信工业有限公司|（2017）津民初21号|https://www.tianyancha.com/lawsuit/271d75ab2e8111e8bc346c92bf3bac55
2017-12-18|中金黄金股份有限公司与赤峰三川矿业集团有限公司合同纠纷二审民事裁定书|合同纠纷|上诉人-中金黄金股份有限公司被上诉人-赤峰三川矿业集团有限公司|（2017）京02民终4345号|https://www.tianyancha.com/lawsuit/93e13c6d3b8211e8b0207cd30ae00c08
2017-09-29|内蒙古玉峰矿业集团有限责任公司与赤峰三川矿业集团有限公司民间借贷纠纷一审民事判决书|民间借贷纠纷|原告-内蒙古玉峰矿业集团有限责任公司被告-赤峰三川矿业集团有限公司|（2017）内0422民初3179号|https://www.tianyancha.com/lawsuit/6e0f19123c9711e8b0207cd30ae00c08
2017-08-21|平安银行股份有限公司天津分行与赤峰敖仑花矿业有限责任公司、赤峰三川矿业集团有限公司金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-平安银行股份有限公司天津分行被告-赤峰敖仑花矿业有限责任公司,赤峰三川矿业集团有限公司,赤峰浩洲矿业有限责任公司,克什克腾旗玉宝矿业有限责任公司,侨兴集团有限公司,惠州侨兴电讯工业有限公司,惠州侨兴电信工业有限公司|（2017）津民初20号|https://www.tianyancha.com/lawsuit/852e92c29f8611e8a8b47cd30ae00894
2017-07-25|中国长城资产管理股份有限公司内蒙古自治区分公司申请执行赤峰三川矿业集团有限公司等合同纠纷执行裁定书|合同纠纷|申请执行人-中国长城资产管理股份有限公司内蒙古自治区分公司被执行人-赤峰三川矿业集团有限公司,赤峰敖仑花矿业有限责任公司,赤峰浩洲矿业有限责任公司,侨兴集团有限公司|（2017）内04执76号|https://www.tianyancha.com/lawsuit/694a940d97ab11e788a5008cfaf8725a
2017-07-25|扎鲁特旗利阳矿业有限责任公司申请执行赤峰三川矿业集团有限公司股权转让纠纷执行裁定书|股权转让纠纷|申请执行人-扎鲁特旗利阳矿业有限责任公司被执行人-赤峰三川矿业集团有限公司|（2017）内04执57号|https://www.tianyancha.com/lawsuit/6953fe3897ab11e788a5008cfaf8725a
2016-05-18|宁城县鑫泰球团有限公司与内蒙古鑫润矿业有限责任公司、赤峰三川矿业集团有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-宁城县鑫泰球团有限公司被告-内蒙古鑫润矿业有限责任公司,赤峰三川矿业集团有限公司|（2016）内0404民初3255号|https://www.tianyancha.com/lawsuit/db5afc9021d446e88c67fc2ee56e825f
