P90|-|2014年10月26日|2017年06月15日|中国人民共和国工业和信息化部|第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和互联网信息服务）
R90|-|2012年10月23日|2015年07月03日|北京市文化局|利用信息网络经营网络游戏产品（含网络游戏虚拟货币发行）
0411005A00156|高新技术企业认定证书|2004-03-05|-|北京市科学技术委员会|高新技术企业认定
0211005A0056|高新技术企业认定证书|2002-03-01|-|北京市科学技术委员会|高新技术企业认定
京R-2001-0173|软件企业认定证书|2001-01-01|-|北京市科学技术委员会|软件企业认定审批
0811005A01908|软件企业认定证书|2008-03-17|-|北京市科学技术委员会|软件企业认定审批
京（朝）防用字B42-014号|延期许可|2017-11-27|-|朝阳区民防局|延期许可
（京朝）雷审字[2015]第044号|防雷装置设计审核|2015-10-30|-|北京市朝阳区气象局|1#科研办公楼等2项（中关村科技园区电子城西区A10-2地块项目）防雷装置设计审核
110105005140|中华人民共和国国务院令第259号《社会保险费征缴暂行条例》|2004-09-01|-|北京市朝阳区劳动和社会保障局|社会保险登记证
（京朝）[2018]SPJYHF-1147|食品经营许可证新办|2018-03-02|-|北京市朝阳区食品药品监督管理局|热食类食品制售；冷食类食品制售；自制饮品制售，限普通饮品；预包装食品销售，含冷藏冷冻食品***
京水行许字(排)[2018]第62049号|北京市水务局行政许可决定书|2018/11/27|-|北京市水务局|经我局派人核查，你单位现有排水设施：隔油池2座，化粪池1座，检查井1座，接入井1座，均符合规范。
J1000005911902|开户许可|-|-|中国人民银行营业管理部|变更
