jrsj（接入时间）|jgdm（机构代码）|jgmc（机构名称）|jglx（机构类型）|fddbr（法人代表）|jyfw（经营范围）|jjhy（经济行业）|jjlx（经济类型）|zcrq（注册日期）|pzjgdm（批准机构代码）|xzqh（行政区划）|jgdz（机构地址）|yzbm（邮政编码）|dhhm（电话号码）|bzrq（办证日期）|zfrq（作废日期）|bzjgdm（办证机构代码）|zczj（注册资金）|hbzl（货币种类）|wftzg（外方投资国）|zgrs（职工人数）|bgrq（变更日期）|zchm（注册号码）|zgjg（主管机构）|pzjg（批准机构）|zj（主键）|jj（简介）
2018-12-08 17:23:22|1144600|黑龙江东方学院|综合类||民办|教育||1992||哈尔滨市|哈尔滨市平房区哈南工业新城哈南十九路1号|150086|0451-87505389,0451-87505390||||||||2019-03-28 12:19:29||黑龙江省教育厅|黑龙江省教育厅||黑龙江东方学院是改革开放后黑龙江省第一所民办普通高等高校，于1992年由孟新、尚鹤翔、周长源、刘式勤等老一辈教育工作者发起创办。学院1993年开始招收全日制专科生;2000年开始招收本
2018-12-08 17:23:21|1025200|上海理工大学|理工类||公办|教育||1906||上海市|上海市军工路516号|200093|021-55270799||||||||2019-03-28 12:19:29||上海市教育委员会|上海市教育委员会||上海理工大学以工学为主，工学、理学、经济学、管理学、文学、法学、艺术学等多学科协调发展，是一所上海市属重点建设的应用研究型大学。2016年7月，学校成为国家国防科技工业局与
2018-12-08 17:23:21|1359000|重庆工商大学融智学院|财经类||民办|教育||2001||重庆市|重庆市巴南区龙洲湾街道尚文大道906号|401320|023-88968679,023-88968678,15023650606,15823287653||||||||2019-04-01 10:12:27||重庆市教育委员会|重庆市教育委员会||办学条件：学院位于重庆市巴南区龙洲湾尚文大道906号，规划占地902亩。校区建筑极具现代气息，拥有完善的教学和生活设施：现代化教学楼(配备有多媒体教室和实验室)、运动场、图书馆
2018-12-08 17:23:21|1027300|上海对外经贸大学|财经类||公办|教育||1960||上海市|上海市松江区文翔路1900号|210620|021-67703050||||||||2019-03-28 12:19:29||上海市教育委员会|上海市教育委员会||上海对外经贸大学(原上海对外贸易学院)建立于1960年，由原上海外国语学院(上海外国语大学前身)外贸外语系、上海海关学校、上海干部学校合并组建而成，是原国家对外贸易经济合作部(商
2018-12-08 17:23:21|1061700|重庆邮电大学|理工类||公办|教育||1950||重庆市|重庆市南岸区南山街道崇文路2号|400065|023-62468661,023-62468662||||||||2019-03-28 12:19:29||重庆市教育委员会|重庆市教育委员会||重庆邮电大学是国家布点设立并重点建设的几所邮电高校之一，是工业和信息化部与重庆市共建的一所特色鲜明、优势突出，在信息通信领域具有重要影响的高水平教学研究型大学。学校发
2018-12-08 17:23:25|1443200|河北中医学院|医药类||公办|教育||1958||石家庄市|杏苑校区位于河北省石家庄市鹿泉区杏苑路3号；橘泉校区位于河北省石家庄市桥西区新石南路326号。|050200|0311-89926111,0311-89926311||||||||2019-03-28 12:19:29||河北省教育厅|河北省教育厅||河北中医学院始建于1958年，是全国建校较早的高等中医药院校之一。建校60年来，培养出包括中国工程院院士、国医大师在内的数万名中医药人才。现为河北省人民政府与国家中医药管理局
2018-12-08 17:23:23|1260900|重庆电子工程职业学院|理工类||公办|教育||1965||重庆市|重庆市沙坪坝区大学城东路76号|401331|023-65928128,023-65928126||||||||2019-03-28 12:19:29||重庆市教育委员会|重庆市教育委员会||重庆电子工程职业学院是由重庆市政府举办、重庆市教委主管、市教委与市经信委共建的全日制普通高等院校。学校创建于1965年，1999年成为重庆第一所高职学院，是教育部、财政部重点建
2018-12-08 17:23:22|1008900|河北医科大学|医药类||公办|教育||0000||石家庄市|中山校区：河北省石家庄市中山东路361号；建华校区：北院，河北省石家庄市建华南大街309号|050017|0311-86266317||||||||2019-03-28 12:19:29||河北省教育厅|河北省教育厅||河北医科大学是河北省重点骨干大学，初名北洋医学堂，1894年由直隶总督北洋大臣李鸿章于天津创办，是中国近代第一所官办西医院校。辛亥革命后，1912年10月民国教育部颁发第十六号令，
2018-12-08 17:23:21|1358900|重庆师范大学涉外商贸学院|财经类||民办|教育||2002||重庆市|重庆市合川区学府路9号|401520|023-42888768,023-42897897,023-42888798||||||||2019-04-01 10:11:37||重庆市教育委员会|重庆市教育委员会||重庆师范大学涉外商贸学院是2002年经教育部批准设立的全日制普通本科高校，曾被评为“全国先进独立学院”、“中国品牌影响力独立学院”。学院秉承“厚德、笃学、砺志、创新”的校训
2018-12-08 17:23:22|1288700|河北旅游职业学院|综合类||公办|教育||1950||承德市|河北省承德市高教园区|067000|0314-2376888,0314-2376882,0314-2376899||||||||2019-03-28 12:19:29||河北省教育厅|河北省教育厅||河北旅游职业学院是河北省唯一以旅游命名，以培养旅游类、现代农业、现代管理和信息机电类高技能专门人才为主的综合性公办全日制高职院校，是河北省重点建设的示范性高等职业院校
